标题,阅读,评论,字数,影响力,时间
镧铈价格再次大幅上涨,54709,98,143,2.5,2017-08-23 13:57:41
下周关注300555 。,7000,17,134,4.0,2017-09-02 20:00:46
北方稀土会慢慢涨，节节高升,4252,7,77,3.5,2017-08-07 14:18:59
北方稀土本人近期看高到40元(十月一日前)，远期,50318,70,181,0.0,2017-08-28 11:52:42
[鼓掌]向全国人民问好！祝全国人民幸福安康！,5368,10,182,4.0,2017-08-14 12:39:21
眼下多种因素对北稀构成了重大压力！开关的预言,13862,6,170,4.0,2017-09-10 22:58:52
重磅！捷成股份坐收电影《战狼2》50亿元票房,3254,11,834,4.0,2017-08-14 10:21:41
目前杭州园林股价上82元，看大千生态股价43元这,7018,21,270,3.0,2017-09-02 13:40:42
北方稀土(600111)大宗交易数据一览(09-08),63006,15,472,0.0,2017-09-08 18:35:07
二次买点加油,13473,64,6,2.0,2017-08-28 13:08:14
北方稀土进入盘整已成定局（写于8月22日晚）,51157,34,1050,1.5,2017-08-22 20:49:27
南方稀贵期货稀土连板3天 南方稀贵期货稀土连板,17926,16,179,3.0,2017-09-05 13:14:00
本来是一把撑握世界命脉的利剑，却弄得这么烂，,29500,85,193,2.0,2017-03-15 09:39:50
华宸信托注册资本增至8亿元 北方稀土将不再参与,57086,7,2196,0.0,2017-09-08 02:59:14
调整不买入北稀要待何时？,27180,57,353,3.5,2017-08-02 09:01:22
北方稀土(600111)融资融券信息(07-28),21508,2,548,0.0,2017-07-29 07:38:09
黄国东：3300点拉锯战下周收复,40187,69,709,4.0,2017-08-12 14:29:46
北方稀土(600111)融资融券信息(09-06),13426,5,548,0.0,2017-09-07 07:36:24
9月6日夜盘稀土电子现货盘继续涨停!,13129,7,404,3.0,2017-09-07 08:56:15
北方稀土(600111)大宗交易数据一览(09-06),77663,23,473,0.0,2017-09-06 18:26:04
稀土业务量价齐升，未来成长可期,109098,46,1494,0.0,2017-08-18 15:10:59
北方稀土，本周走势预判,26181,38,407,0.0,2017-08-30 16:21:58
八月的风会向哪边吹？,22546,29,1083,4.0,2017-07-31 16:50:49
五矿稀土要成为龙头吗？,5086,10,124,3.0,2017-09-06 14:46:25
官网公布：北方稀土重点产品今年价格翻倍了,20327,10,20,0.0,2017-09-04 21:48:59
痔哥今天怎么没出来BB,7182,21,132,2.5,2017-09-01 09:33:38
开关10元满仓双成药业，7元多杀进亿晶光电，这,9014,17,184,0.0,2017-08-29 18:16:31
有色趋势行情延续，关注还没启动的黄金个股，如,4628,12,176,3.5,2017-07-13 10:43:14
我就要18全部卖出！这股票短期这走势太浪费其他,14603,30,186,0.0,2017-08-29 10:52:32
这个很难吗 新股一人一手，大数据了。改成每千,20380,124,305,1.5,2017-08-26 20:34:48
~~三浪三主升浪的龙头是军工，航天电子是领头,5656,9,231,3.5,2017-08-23 18:50:35
北方稀土，下周走势预判,21620,25,297,0.0,2017-08-25 16:31:24
北方稀土站稳平台，确认支撑,17035,6,309,0.0,2017-07-22 21:59:34
~~保护胜利果实 该换股操作了,8039,14,156,3.5,2017-07-13 23:26:57
北方稀土9月1日盘中涨幅达5%,14945,5,178,0.0,2017-09-01 11:17:51
周期股强势回归，坚定看好北稀22元不动摇。,42466,84,284,0.0,2017-08-21 14:36:30
终于摸到了18.39！清仓良机！,9551,19,127,4.0,2017-09-01 09:56:26
