标题,帖子数,日期,情感
光大银行获准发行最多300亿人币可换A股债,7599,3,2016-11-02 08:54:28,0.11193082720673397
基金君卖空了光大行,4620,12,2016-11-01 09:58:48,0.7424698885946369
601818:光大银行关于公开发行A股可转换公司债券,26913,9,2016-11-01 18:04:07,0.027375493716162436
本人专门研究关注价值洼地、具有投资价值的股票,25530,56,2016-10-20 11:44:08,0.9973258374836264
光大银行，0.66元业绩，5元净资产，你不敢买，,4079,4,2016-11-01 09:43:10,0.04362573833446881
答网友,32457,55,2016-07-01 15:04:12,0.5345932734148618
证金公司也玩高抛低吸超短线？,4047,10,2016-10-31 08:05:00,0.785402190262931
光大银行8大亮点,9924,17,2016-10-29 08:50:50,0.294387138635105
601818:光大银行2016年第三季度报告,31288,6,2016-10-28 23:12:01,0.4030533387970956
今天晚上建行公布半年报，明天晚上光大银行公布,13379,33,2016-08-25 10:10:05,0.0035984288047414825
价值 观扭曲到极至,8642,24,2016-10-27 19:08:49,0.5122309730045418
光大3季度业绩同比上升2.35%，,7674,10,2016-10-28 22:21:27,0.6775475136761172
别买入！耐心等待融资盘被强平爆仓时抄底不迟81,34792,41,2016-01-14 14:12:13,0.20679756320548337
抛！供给侧改革消产能去库存必增银行的呆坏帐,46044,55,2016-01-12 10:00:31,0.7416235505962901
光大银行(601818)大宗交易数据一览(10-27),13773,6,2016-10-27 19:01:40,0.12132264386434322
银行板块的春天要来了！,21120,24,2016-10-20 09:28:33,0.8598225076446537
一些分析师和股评家为何对银行股一叶障目，不见,7866,15,2016-10-25 08:59:57,0.052431985193648556
所有经济指标都是行业最差的光大银行董事长唐双,10723,11,2016-10-11 15:29:33,0.9952325816534445
601818:光大银行主要股东增持股份计划完成公告,32321,9,2016-10-17 20:08:08,0.1787657671045455
不怪空头太愚蠢，只怪光大集团太狡猾,6979,5,2016-10-20 08:02:32,0.002192660198138241
债转股利好银行股,12327,14,2016-10-11 09:05:44,0.08060458835463125
股民的奇怪价值观，造就了瀑富的机会,13708,16,2016-09-29 19:59:49,0.98931774281096
人民币入篮意味什么？,14578,15,2016-10-01 10:39:03,0.5994200762442343
谢百山到底有多少钱？,11871,11,2016-10-03 19:45:03,0.5001705183555875
美国股市的银行股市盈率,11173,8,2016-10-07 12:18:37,0.9888265945218616
人民币入篮和当年中国入世,12253,15,2016-10-02 09:12:57,0.9413869660949713
谢百三造谣惑众大放厥词的文章为何能迷惑一些人,24786,38,2016-09-18 18:43:44,0.6443033696618923
畜生黑猫快割肉，我在下面接猫血！,22496,52,2016-09-11 18:29:02,0.7747951745180286
中央汇金增持光大银行H股 涉资约2146万元人民币,20470,36,2016-09-26 18:14:45,0.022117343581963933
2016中报点评：收入增速偏弱，集团增持,32143,6,2016-09-21 11:21:31,0.8568900202872749
江阴银行10涨停市净率突破3倍，40倍市盈率！,5605,3,2016-09-20 09:26:20,0.03486487394866178
再过两天光大集团是否就会宣布增持股票到30%了,10876,7,2016-09-19 10:25:13,0.07646043599287322
四两拨千斤,该股走势显示证监会态度,9684,5,2016-08-23 19:34:51,0.5
光大三年内必上5元，跌了有钱补仓,8492,13,2016-09-10 09:28:01,0.018354946406984873
王锤子王弱狗跑哪里了,9821,16,2016-08-25 14:10:13,0.5301994619911011
[哈哈]空头又失算了！,6384,15,2016-09-13 09:15:04,0.5167201658726281
招商证券给光大银行的目标价是5.04--5.79元,21783,61,2016-09-06 07:35:08,0.7488428894411747
光大银行目标价!!!!!!,9288,6,2016-09-11 11:29:56,0.42173688071320525
强烈抗议光大银行股价在净资产以下搞融资,13577,23,2016-06-16 09:56:44,0.2740914117968114
唐氏下台时，光大上升时！！,5900,11,2016-08-27 21:14:04,0.18149979584301013
抛！光大银行A股价高溢价H股46%，同股同权，A股,122270,148,2015-11-19 08:17:48,0.07966922528624609
光大银行，一组半年报数据让人醍醐灌顶 茅塞顿,10151,10,2016-09-02 09:46:42,0.7859458906502886
光大银行(601818)大宗交易数据一览(08-11),10073,4,2016-08-11 17:58:36,0.12132264386434322
光大银行(601818)大宗交易数据一览(08-24),9483,8,2016-08-24 17:52:40,0.12132264386434322
匪夷所思,9090,11,2016-09-02 18:43:51,0.69949244407048
高估值板块拆分再上议程,34008,8,2016-09-05 11:20:45,0.2595330992222462
我对招商证券研究报告的点评,6800,15,2016-09-05 19:43:52,0.8879170637825461
半夜感悟,17940,55,2016-07-11 07:31:57,0.6291831936012247
从底部今年3.30元上来，已上涨了30%还多,6695,10,2016-09-03 16:06:23,0.004472615671195945
601818:光大银行2016年半年度报告摘要,26068,18,2016-08-26 20:13:05,0.5062808245775542
光大银行的改制整体上市混业经营有望加速提前！,9276,23,2016-09-02 08:08:24,0.16636999780356077
601818:光大银行对外投资公告,33841,9,2016-09-02 19:11:57,0.5298536903661656
优质银行股大评选,8876,13,2016-08-31 06:44:26,0.02730572642353357
跟着国家队，稳当有肉吃,9314,22,2016-08-30 19:59:13,0.71051853392145
这次强烈支持王若谷，强烈要求唐双宁辞去光大银,5624,8,2016-08-29 16:42:46,0.9953340270480014
光大业绩堪忧，全年料想负增长！！！ 关注了光,8254,18,2016-08-26 20:56:37,0.29288311397521116
王若谷你会算吗？,4769,6,2016-08-28 15:49:55,0.8587723183459548
光大不要赚了钱却损失了形象信誉，得不偿失,7652,27,2016-08-29 16:38:05,0.021481455141282302
光大银行第一期优先股的2015年股息是2016年6月2,5444,10,2016-08-28 16:18:03,0.013350491120815988
光大银行为何为了隐瞒业绩犯如此低级错误？,9475,32,2016-08-28 07:47:21,0.12617195293019323
如何看光大银行半年报？,11320,27,2016-08-26 21:17:49,0.32578146468112046
