标题,阅读,评论,字数,影响力,时间
索罗斯买的ETF含有如下三只股票,13638,5,171,3.0,2016-11-27 17:57:25
交行白菜价。两市市净率最低的真正低估值股票！,7182,5,154,4.0,2016-11-21 20:20:58
第一次买中国银行就被套1年，心态不好真会发疯,15032,21,184,0.5,2016-11-18 14:22:12
中国银行是最垃圾一只银行股，没有之一，去年至,16267,38,250,3.5,2016-11-01 09:37:09
关于不工作去全职投资的条件：经验之谈,11501,24,569,3.0,2016-08-18 20:52:08
中国银行2015年三季报[人类震撼][点击查看原文],10785,7,765,4.0,2015-10-17 15:50:32
[大宗交易揭秘]·601988:中国银行2015年第三季度,12134,16,651,4.0,2015-10-31 08:36:52
中行诈骗大案：内部员工牵线致借款人损失逾千万,18759,10,4965,0.0,2016-11-14 13:24:37
中国银行拟于11月20日派发中行优1股息每股6元,21428,8,304,0.0,2016-11-12 14:54:31
跌得好，跌得妙，跌得赌徒们做猪叫。,79656,156,70,3.5,2015-08-07 06:13:59
谢百山又是谁,9429,6,117,3.5,2016-10-03 18:27:32
都已经是死人，很正常。,11349,11,122,3.5,2016-10-03 18:28:40
601988:中国银行第一期境内优先股股息派发实施,43976,11,1183,0.0,2016-11-11 19:59:59
中国银行(601988)大宗交易数据一览(11-08),9172,4,481,0.0,2016-11-08 18:09:25
这股3.35~3.38低吸了40万，以为和深港通有点关,6073,5,241,3.5,2016-11-08 10:44:34
中国银行严重低于其他银行，严重落后于大盘，有,10326,14,133,0.0,2016-11-04 10:03:41
国家队-砸盘！ 国家队-砸盘！  国家队-砸盘！ ,106682,142,207,2.5,2016-05-11 14:25:10
中国银行三季度遭证金、华夏人寿减持 证金持股,21014,33,435,0.0,2016-10-26 21:40:06
统一回复很多问分红扣税的政策,35051,53,496,3.0,2016-06-29 19:27:19
做中行客户、当中行股东、献中行良策，得长期回,68843,99,136,3.5,2016-07-17 17:41:27
抛！供给侧改革消产能去库存势必增银行呆坏帐88,35258,58,163,4.0,2016-01-12 10:08:12
别买入！耐心等待融资盘被强平爆仓时抄底不迟98,20225,28,159,4.0,2016-01-14 14:15:46
中国银行三季报点评：不良净生成大幅改善，增长,22083,7,1134,0.0,2016-10-27 17:03:23
中国银行前三季净利润微增2.48% 证金及华夏人寿,21249,7,429,0.0,2016-10-27 12:47:00
简谈中国银行和农业银行,22669,15,3117,2.5,2016-10-21 09:26:35
中国银行(601988)大宗交易数据一览(10-21),10632,7,473,0.0,2016-10-21 18:07:46
000553植物保护龙头 先正达重组预期 草甘膦涨价,4907,8,831,3.5,2016-10-20 21:30:22
中国银行于10月24日派发境外优先股股息约4.87亿,10667,6,250,0.0,2016-10-14 17:25:02
有直销经营的好当家，只卖4.07元的价[赚大了],30457,92,153,4.0,2016-07-29 21:53:58
一万亿债转股力挺A股：千点大反转随时开展？,1184587,665,3180,0.0,2016-04-04 22:01:32
为什么每天卖一大单压盘，收盘前悄悄撤掉？,7933,4,158,3.5,2016-10-14 16:01:27
中国银行(601988)融资融券信息(10-11),4915,5,534,0.0,2016-10-12 07:43:19
[超级震撼牛]狂龙飙涨腾飞在即！,9570,14,227,4.0,2015-12-08 12:13:12
那个叫“nwb2011”吹牛逼那么有意思吗？,8646,19,232,3.5,2016-07-05 13:47:49
本事就是造假上市，又何来救市？,12890,14,67,3.5,2015-08-07 06:12:34
每天，只赚一点点，真高兴！,26061,31,76,3.5,2015-08-06 16:40:41
中国银行(601988)融资融券信息(09-29),6592,5,538,0.0,2016-09-30 07:45:56
“境外势力”三次看空中国银行业 穆迪下调11家,74866,84,2845,0.0,2016-03-03 22:51:40
601988:中国银行董事会决议公告,20563,3,612,0.0,2016-09-29 20:39:59
中国银行在毛里求斯开设首家中资银行,15014,6,584,0.0,2016-09-29 05:01:33
明天继续买入银行股！,10754,15,312,4.0,2016-09-22 20:03:35
看看新上市的贵阳江苏银行！中行还趴在底部？,7418,24,205,4.0,2016-09-21 10:38:09
明后天银行股还会领涨所有板块！,10869,24,322,4.0,2016-09-21 14:05:32
摩通：中行目标价看至4.8元 评级“增持”,11493,4,431,0.0,2016-09-22 11:38:03
央行决定授权中国银行纽约分行担任美国人民币业,13893,5,235,0.0,2016-09-21 09:18:00
中国银行纽约分行任美国人民币业务清算行,7117,9,202,0.0,2016-09-21 09:28:50
主力眼瞎了，中行港股大涨3%,7781,10,138,3.5,2016-09-19 10:36:16
证金大举减持银行，经济泡末破灭前夜吗,12959,8,361,3.5,2016-09-16 00:10:20
北部湾自贸区龙头：柳钢股份,6028,26,136,4.0,2016-08-12 07:14:00
去年7月4.11买的，至今套牢，分红后降成本3.94,17930,28,221,3.5,2016-09-06 21:54:47
中国银行(601988)大宗交易数据一览(09-08),13359,7,479,0.0,2016-09-08 18:04:33
中国银行，2006年底，股价升到68元！,15311,18,91,2.5,2015-12-10 20:17:45
求解答，今天买入3万股，十年后我的资产是多少,12832,23,220,2.5,2016-08-18 17:29:45
大东南：石墨，锂电，手游，只卖3.89元,22431,133,91,4.0,2016-08-15 12:32:55
3.45重仓杀入 等3天,6124,10,125,2.5,2016-09-06 17:15:43
中国银行(601988)大宗交易数据一览(09-06),9161,5,476,0.0,2016-09-06 18:03:50
抛！中国银行A股价高溢价H股42%左右，同股同权,76982,153,210,4.5,2015-11-19 08:20:19
中国银行(601988)大宗交易数据一览(07-19),12160,5,483,0.0,2016-07-19 17:58:26
令人醍醐灌顶 茅塞顿开的2016半年报数据。,10985,14,1038,3.5,2016-09-02 08:46:49
银行板块盘子还大，一年也不涨停一次，买这样的,5444,7,170,2.0,2016-09-04 19:28:41
下周有望出现连续大阳线反弹！,8441,4,694,4.0,2016-09-04 08:29:15
证金公司上半年增持中行A股近5亿股,9202,6,247,0.0,2016-08-31 09:44:52
中行上半年利润同增12.97% 拨备覆盖率重回150%,14704,7,2148,0.0,2016-08-31 06:33:30
去除卖南洋银行所得，中国银行中报每股0.20元。,8535,20,177,3.5,2016-08-30 21:27:07
中国银行中期净利润930.37亿元同比增长2.52%,13403,8,583,0.0,2016-08-30 18:38:39
中国银行(601988)融资融券信息(08-25),5353,6,536,0.0,2016-08-26 07:45:53
中国银行(601988)融资融券信息(08-22),3783,3,540,0.0,2016-08-23 07:38:24
