标题,帖子数,日期,情感
我的预测在一步步实现,2305,23,2017-07-06 21:27:47,0.9097746262718525
请大家谈谈为什么沪股通近来大幅买入方正证券。,70274,81,2017-03-15 17:19:07,0.019983055565121144
周线级别的调整,2591,30,2017-07-07 05:42:10,0.3685949865313326
全部清仓，全部卖出,3496,16,2017-07-07 13:10:07,0.4737672181921908
周线收阴基本已成定局，三周以后才有中线机会~,17095,23,2017-07-05 21:01:02,0.22972880622515335
股吧里唱多的人一多就要调整，这个是真理。,3123,1,2017-07-06 11:36:49,0.7913091842192834
我对方正证券走势的看法,21357,8,2017-07-12 16:31:47,0.64350118712865
10.11成功逃顶~,15276,21,2017-06-29 11:28:51,0.7352041096396796
股市，庞氏骗局的简称，一个代码，在市场上击鼓,3876,14,2017-07-04 10:55:15,0.9135265016428511
601901:方正证券2017年6月财务数据简报,57926,7,2017-07-10 18:23:00,0.29580493409327824
何况即便预测不准确也不用承诺任何责任,2621,22,2017-03-24 08:26:03,0.6897689903626948
庄家出货很明显快逃逃逃......,3179,17,2017-07-07 10:16:31,0.9074479383772289
后市仍看多，有强烈反弹要求不排除直接上冲,3242,20,2017-07-07 08:58:41,0.4748417420218587
谁他妈的砸盘？,5182,13,2017-07-06 11:05:42,0.29039118492532723
"粤水电(OO2O6O)才是真正""一带一路""错杀成白菜价",17700,46,2017-05-13 17:51:16,0.540114657660517
方正证券索股民赔诉讼征集,15953,49,2017-05-16 14:56:48,0.8774866908598052
数据说话～～～7月3号港资虽然没有买卖。到持股,19804,21,2017-07-04 07:39:12,0.0394476144062782
战略上要做多，战术上要做空~个人风格，看好你5,9436,11,2017-06-29 14:56:56,0.9605192402606818
分久必合，合久必分~从60分钟图来看30天线已经,17461,9,2017-06-29 16:51:17,0.018052117430323644
方正证券的背后一定隐藏着，,49055,57,2017-06-19 14:15:07,0.8794786524510229
基本控盘，涨跌由大资金说了算……,6984,8,2017-06-23 09:26:08,0.7034315082481952
这哪里是港资呀？分明是准备变相收购的内资,25685,26,2017-06-30 22:58:49,0.6583678333896723
资本运作彰显信心，业务持续向前发展,39344,9,2017-05-02 10:11:42,0.9999527415551802
逆天了，居然一路上涨！,12386,17,2017-06-20 10:25:35,0.06215426655016454
本周应该是证券股的天下,8314,6,2017-06-26 13:19:45,0.3451323703993536
十元的开始,8508,9,2017-06-28 16:33:10,0.39788150967810587
十元看起来形成短期顶部了。,18399,39,2017-06-26 14:41:36,0.44484922805145977
今天收盘在9元上方，那就是站上9元后的第六天，,35581,33,2017-06-07 12:44:18,0.015191897799263221
方正证券强势，率先启动概率大！估计周三左右完,83880,108,2017-05-22 16:23:20,0.2868470574675196
方正证券，真的看不懂,14968,12,2017-06-27 15:06:40,0.4332263347424742
高盛称加入MSCi中国股市交易制度将前进三十年与,12854,15,2017-06-01 13:40:41,0.9971552198463379
方正证券的详细分析,35722,21,2017-06-24 00:29:54,0.9212201458659781
别追了，背离走势，注意操作节奏,8973,10,2017-06-26 11:55:36,0.2750290711675656
太牛了八块多就卖了都涨九块多了,4268,1,2017-06-01 12:28:34,0.17539940080849603
方正证券虽然有各种利好消息，但持续滞涨，也要,8394,16,2017-06-20 13:34:47,0.9465571904151046
在一片悲观中树多头大旗,5454,14,2017-06-20 11:35:37,0.9744798855276241
