标题,帖子数,日期,情感
9月券商业绩分化 关注优质券商机会,860237,2554,2015-10-15 10:55:59,0.8624293131513929
≤ 券商迎历史性大经济业务和大投行业务变革—,109666,591,2016-05-25 21:16:58,0.9979436981953165
>->给主席的关于T＋0的信主席你也得出来表个态,117052,691,2016-05-03 05:55:18,0.6463788449854396
==》恢复T+0根本不用救市资金，券商板块自己就,168818,770,2015-09-25 21:16:00,0.823840134559883
我的成本21.6元，后来加仓，现在是21.3&大家也,11564,23,2016-12-13 13:30:59,0.10483205290382525
601688:华泰证券2016年第三次临时股东大会的法,10486,14,2016-12-21 18:55:45,0.6051151780515339
华泰证券(601688)大宗交易数据一览(12-19),13390,13,2016-12-19 18:11:41,0.1256798666749258
华泰证券直投子公司注册资本增至60亿,9698,6,2016-12-12 03:47:15,0.336022419850073
华泰证券的麻烦事 “强平亏500万”客户继续上访,38305,31,2016-10-24 14:52:40,0.03895770815919464
601688:华泰证券关于华泰紫金投资有限责任公司,22112,10,2016-12-11 16:21:18,0.34543790397930774
601688:华泰证券公开发行2016年公司债券(第二期,9684,4,2016-12-08 19:47:33,0.08427954794482928
华泰证券11月份净利润4.14亿元人民币,17995,6,2016-12-07 19:18:53,0.17808206319726372
601688:华泰证券2016年11月份经营情况主要财务,27862,10,2016-12-07 18:00:55,0.14641513951743335
真会装逼，60分钟底背离了,5842,19,2016-12-06 11:04:19,0.010961375584370936
601688:华泰证券关于召开2016年第三次临时股东,19119,4,2016-12-02 16:29:30,0.08025442622978851
601688:华泰证券关于收到中国证监会《行政处罚,26602,15,2016-11-28 16:30:41,0.10099812580027434
华泰证券遭证监会罚没7294.03万元,14569,12,2016-11-28 17:31:01,0.3401148345075905
财富管理持续转型，投行业务高速增长,14472,4,2016-11-01 14:51:58,0.9923469641950579
在深港通开通在即、新股发行提速以及华安证券即,6511,6,2016-11-25 11:47:29,0.06244521406454162
机构抢入华峰超纤三连板 华泰证券系游资爆炒高,54481,8,2016-11-23 02:19:15,0.10482547574735113
协力方能扬长，重利方能突围,35413,5,2016-11-14 09:10:05,0.1884966762457424
要急涨至48元,赶快抢入,戓坚定持有,19425,12,2016-11-08 17:10:55,0.4861309440049707
601688:华泰证券关于收购AssetMarkFinancialHol,42330,46,2016-11-01 18:04:07,0.7951633922315923
601688:华泰证券关于获得中国证监会核准公开发,37757,3,2016-11-17 20:00:21,0.16504574748067624
收购AssetMark，深化财富管理转型,28374,4,2016-11-07 08:42:14,0.9984970167597201
代表所有其他券商的朋友请来询问？,5364,12,2016-11-21 13:20:25,0.40696719122808067
迎来补涨机会,5560,5,2016-10-28 09:51:45,0.6684289442588527
温州帮将入驻中海科技002401仟源医药300254目标,14231,16,2016-10-01 22:59:03,0.8602965259039039
601688:华泰证券关于获得深圳证券交易所同意开,34008,4,2016-11-08 16:24:20,0.041147660613576775
华泰证券7.68亿美元收购AssetMark,12860,22,2016-11-02 05:15:19,0.862880930559068
2016年三季报点评：经纪投行优势稳固，收购Asse,18671,4,2016-11-02 14:24:37,0.9776620767605325
差异化突围，业绩有望继续改善,15224,14,2016-11-02 09:24:15,0.7830183295551878
000686下个证券龙头盘子小,3909,19,2016-11-01 10:42:36,0.011266261498304009
2016年三季报点评：稳固经纪业务优势，提升综合,12313,4,2016-10-31 16:42:05,0.607046127205792
公司季报点评：持续传统业务转型，推行全业务链,10135,3,2016-10-31 19:05:27,0.7269575612633226
麻批，今天遭了3万,6095,8,2016-10-28 15:04:34,0.6638793572677545
【热点直击】券商板块开盘一骑绝尘！,19013,7,2016-10-28 09:53:40,0.830289229454405
定投买在底部区域，目前3000点向下空间400点向,7533,11,2016-10-24 06:52:43,0.020391653482267458
华泰证券在下午14：30分左右 瞬间封涨停,7684,4,2016-10-28 11:46:50,0.611101754214618
券商股集体走强 华泰证券盘中涨逾9%,17126,5,2016-10-28 11:18:42,0.1920439124564599
券商板块全线走强 华泰证券领涨,21437,6,2016-10-28 10:18:10,0.305495537990112
别买入！耐心等待融资盘被强平爆仓时抄底不迟68,24238,34,2016-01-14 13:45:03,0.22678493706166436
601688:华泰证券关于子公司主要负责人变动的公,39479,3,2016-10-21 19:07:13,0.10346783263952053
【讨论】券商飙涨引领大盘冲关 一个诗史级大牛,54439,19,2016-10-24 11:27:46,0.3364810027954731
601688:华泰证券非公开发行2016年次级债券(第二,19957,4,2016-10-24 16:34:20,0.05682404457630019
证券行业的领导者,52381,48,2016-09-21 17:22:40,0.9472767386817298
停牌王000553涅槃重生 草甘膦涨价概念 植保龙头,5061,7,2016-10-20 19:00:47,0.7223392601860981
华泰证券母公司9月净利润环比下降19%,17519,5,2016-10-13 17:14:34,0.12800161604565408
601688:华泰证券2016年9月份经营情况主要财务信,27618,11,2016-10-13 16:17:22,0.1681173251005318
《异动股》中海外获华泰证券唱好现逆市喘定,6773,4,2016-10-12 10:20:19,0.6982603907999759
华泰证券：债转股消化隐含不良促进经济转型,30932,12,2016-04-04 21:42:28,0.9683686559910246
华泰证券目前来看支撑17.79,耐心等待止跌企稳后,15153,307,2016-09-26 14:28:34,0.46112741668884405
601688:华泰证券2016年8月份经营情况主要财务信,36004,17,2016-09-06 19:01:06,0.26111901268985693
=记住:券商一砸鱼皮虾蟹啥狗屁题材就都翻白丝了,13543,48,2016-09-01 15:48:11,0.31883356133337826
华泰今天不跌三个点我吃大便,9019,13,2016-09-14 10:32:29,0.2498626096669273
拿了几个月华泰，终于从多看空了。今天找了一家,27883,66,2016-08-12 16:54:24,0.13956133408868365
