标题,帖子数,日期,情感
谁知道呢，中国交建本周到底能涨多少,6808,13,2017-06-05 08:54:36,0.7354174970393504
建筑起飞了,6396,46,2017-04-11 09:52:18,0.4737672181921926
阴跌害人,6045,19,2017-05-17 16:19:36,0.1837233963534416
行情再起，关注,11074,22,2017-04-27 11:47:44,0.9568112177472787
周一买入长阳涨停见：002460赣锋锂业今天阳十字,2624,5,2017-06-02 17:46:45,0.8979525398161304
以16.88成交买入中国交建，不是说他一带一路吗,22439,75,2017-04-25 09:49:36,0.5912004412718361
把握国企改革机会，关注中国交建、中国联通、中,26501,30,2017-02-09 09:22:11,0.9998854524967868
中国交建：积极参与京津冀、雄安新区建设,36158,11,2017-05-26 16:05:10,0.8403229333270659
我昨天15.03手贱买了这个股，今天解套就跑,4695,28,2017-05-25 12:46:53,0.5805709132364842
著名经济学家沙黾农先生在他的博客中写道：“60,5598,27,2017-05-26 10:27:14,0.998527979677309
今天以14.88掛单加仓买入中国交建，结果几乎是,13796,32,2017-05-22 10:36:30,0.41508139046440384
这就是交建大跌的原因。,16986,10,2017-05-19 14:56:49,0.16030410336948608
601800:中国交建2016年度股东周年大会会议材料,24844,5,2017-05-24 15:39:30,0.9333070525925988
[财力]IPO常态化养老金入市长期化，漂亮50永远,3893,3,2017-05-21 21:56:10,0.9545015414375477
300576容大感光，3D曲面触摸屏龙头，苹果三星概,10646,23,2017-02-10 11:13:03,0.9164536694702862
下周拿点交建，打个短。,10855,22,2017-05-20 19:21:09,0.10671479236910208
2017年1季报点评：订单足，受益PPP和一带一路,27725,6,2017-05-02 15:38:07,0.5001785672060922
15年就正式入驻保定，选址雄县，中国交建才是标,12323,17,2017-04-06 10:59:51,0.8841027501559224
601800:中国交建2017年第一季度主要经营数据公,37508,13,2017-04-25 17:15:09,0.8941957703741819
这是咋的了，利好咋变成利空了,11307,19,2017-05-15 10:06:26,0.5530005716807819
雄安+一带一路:龙头股,3730,4,2017-05-08 07:36:36,0.36618691695084504
8.50---9元之间 继续加大对现代投资000900的配,2989,4,2017-03-28 13:57:48,0.7140136585148784
一带一路成了主力资金出逃的峰会,12888,16,2017-05-15 14:25:12,0.9045392214496772
证监会：请依法常态化监管!!查处操纵股价的不法,45089,30,2016-08-17 15:01:49,0.9089956715567911
相亲、拆迁与股市中的＂改革牛＂何其相似800,78316,42,2016-01-19 12:32:28,0.9999586200328813
Q1业绩超预期，港口疏浚大幅回升,17195,8,2017-04-28 20:44:52,0.3031303414880179
601800:中国交建2016年度第二期超短期融资券兑,12784,2,2017-04-26 17:25:00,0.8421315982417035
中国交建与一带一路沿线国家签署合同超400亿美,25270,14,2017-05-08 11:02:17,0.8406257480158709
中国交建应该扛起反弹的大旗,6067,10,2017-04-27 11:00:58,0.298343035121589
