标题,阅读,评论,字数,影响力,时间
兴业银行联手京东金融推出“小金卡”,38803,13,435,0.0,2017-08-22 08:04:58
有4万股兴业银行，成本18.15元，现在赔钱2.92万,48215,79,166,0.0,2017-08-08 14:33:45
巜纳入MSCl崔生银行股戴维斯双击行情》早日漂亮,54216,101,1865,2.5,2017-06-22 10:57:28
选择自由，选错的都陪，银行股已经连续上涨有一,4987,8,206,4.0,2017-08-02 20:05:31
兴业每股净资产、收益都略高于招商,22319,26,182,3.0,2017-08-18 18:09:29
现在买兴业的赚钱速度必将最低达到年收益20%左,15138,14,630,1.0,2017-05-20 11:20:34
兴业银行(601166)融资融券信息(08-18),9794,35,562,0.0,2017-08-19 08:37:38
早说了中国股市智商最低的全都在北京，国家队随,21440,35,218,3.5,2015-11-05 23:52:58
净资产 已经 接近 20了，有什么可怕的？,11911,10,152,3.0,2017-08-14 10:29:13
融券卖出，坚决做空垃圾兴业银业！,17316,41,147,3.5,2017-07-27 13:59:35
持有到现在已经持有了兴业银行3年零5个月15天，,25887,37,244,2.0,2017-08-09 10:39:50
601166兴业银行 银行板块近期持续高位放量回调,4196,10,219,3.0,2017-07-23 18:46:43
兴业银行(601166)融资融券信息(08-11),10895,9,568,0.0,2017-08-12 07:48:12
警告：兴行银行被融券做空1396.11 万股，小心闪,29403,46,195,3.5,2017-07-26 11:48:17
你认为兴业银行有没有投资价值,75890,123,908,4.0,2017-03-21 19:15:19
特别通告：MSCI指数标的股601958 金钼股份正创,7734,8,293,1.5,2017-06-22 10:08:24
兴业银行泡沫指数是有目共睹的，装逼早晚被雷劈,10089,17,135,3.0,2017-06-29 07:15:23
找不到理由：招商银行高出兴业银行50%估值？？,15316,19,140,1.0,2017-07-26 13:34:48
兴业银行当前合理价格是27,32368,78,304,1.5,2017-03-19 08:54:50
净资产收益十几个点，如果公司缺钱可以向全体股,4464,9,234,2.0,2017-03-27 13:20:45
真是看不懂了，跟招行的差价越来越大，是招行高,13158,22,174,3.0,2017-08-07 10:45:20
601166:兴业银行关于非公开发行A股股票申请获得,139362,63,453,0.0,2017-01-12 18:16:24
我是兴业的股东 我同意增发 钱是大家挣的 你不,6760,24,205,0.0,2017-03-25 09:00:38
招商涨到100元，兴业跌倒10元！,5023,7,144,3.0,2017-08-08 09:08:11
惨惨惨？ 今日证监会网站信息,12525,20,221,0.0,2017-03-24 22:06:58
兴业.银行为啥执意要搞破净增发     其实我是为,8842,8,636,2.0,2017-03-26 07:48:54
散户反制利器-持筹比例,3697,1,234,0.0,2017-08-08 10:37:49
银行坏帐真是无底洞，有质压如此，无就惨多多,3926,9,152,3.5,2017-03-26 19:31:08
兴业银行，持股从此开始了。相信自己的判断，主,17838,27,146,3.0,2017-06-10 09:41:25
兴业银行为什么没有业绩预告呢？,6211,6,165,4.0,2017-03-27 13:25:44
兴业银行第九大股东天安财险保险股权结构，正在,19172,24,1312,3.5,2016-11-15 10:20:46
告诉你江铃000550为何严重低估今年必翻番的原因,7172,11,276,3.5,2017-07-16 15:52:23
热烈  庆祝数千亿养老金入市买股增值，大型券商,5039,11,229,4.0,2017-07-28 13:29:30
两个为什么,5953,8,225,2.5,2017-03-25 15:38:59
兴业银行分行原总监利用放贷受贿70余万,21144,13,1757,0.0,2017-07-24 17:01:44
悲愤，按破净增发，已通过发审会！,9044,11,219,3.0,2017-03-25 22:09:26
只要大家坚持投诉，低价定增仍实施不了,7796,8,257,3.0,2017-02-18 23:49:32
集中兵力，炒新的热门板块龙头股票： 1，首先选,5169,8,639,4.0,2017-01-01 10:33:09
兴业银行睁开你唯利是图的眼珠看看平安发行可转,11783,25,193,3.0,2017-07-29 06:44:26
让你们反对定向增发，现在秋后算账,6629,13,151,3.5,2017-07-28 11:32:53
兴业未来三个月（6-8）走势分析,45627,40,256,2.0,2017-06-01 15:51:21
又到年终总结时，阿方2016年的成绩。,76281,93,234,4.0,2016-12-30 15:18:46
早晚有一天 兴业银行 会到30以上。那 我就可以,9745,6,180,3.0,2017-07-31 10:42:29
601166:兴业银行非公开发行A股股票发行结果暨股,49861,49,1838,0.0,2017-04-10 20:33:01
16.39买入兴业银行。,84613,198,143,4.0,2017-05-25 11:13:37
兴业银行走势持续偏弱 短期风险继续释放中 游资,10454,7,113,0.0,2017-07-20 16:29:11
提前预测兴业银行上半年业绩同比增长8%，每股业,18549,18,191,3.5,2017-07-26 21:30:21
七月看兴业，招行退二线。,22858,33,130,2.0,2017-06-28 15:19:47
601166:兴业银行关于注册资本变更获中国银监会,45160,7,515,0.0,2017-07-26 18:22:29
兴业银行走出两年盘局。 兴业银行在股灾前历史,35410,25,303,4.0,2017-07-14 19:23:07
银行股真的只是护盘那么简单? 实质上A股优质低,16571,19,230,4.0,2017-07-11 19:39:12
综观50指个股、唯银行股可再向上、其它个股已估,5402,7,235,3.5,2017-07-21 12:56:50
进场: “双重改革”受益股，社保养老金标的股,4696,0,1171,4.0,2017-07-29 13:40:36
小脚女人,8347,11,168,3.0,2017-07-19 13:32:42
601166:兴业银行公司章程(2017年7月修订),33920,14,1387,0.0,2017-07-26 18:25:40
实话实说：兴业银行股票每天净增值1分钱，为何,13666,6,506,3.0,2017-07-20 02:22:33
低估值城商行——最后一块价值洼地,29361,36,142,4.0,2017-06-25 22:15:20
2017年的下半年将是大象起舞阶段,20587,22,250,2.5,2017-05-17 09:37:41
持有兴业好长时间了，,7993,11,142,3.0,2017-07-17 00:17:32
六月你不入手，七月兴业离你远去,37759,57,147,2.0,2017-06-12 16:17:05
市盈4.89还要卖？,13091,29,124,4.0,2017-06-14 14:19:24
A股超级大盘蓝筹股价值投资的定义一定要先搞清,45887,73,344,3.5,2017-01-11 20:30:41
加仓买进，进行第一次加仓买进,22788,74,140,4.0,2017-06-09 09:53:12
兴业银行、中信证券和平安银行今年都有翻倍的大,51923,78,185,3.0,2017-06-01 08:44:45
宁波银行  4.44%,6341,7,210,3.0,2017-06-28 15:08:46
一些投资界大V天天指责国家队，其狼子野心昭然,12746,24,315,3.0,2017-05-13 11:18:47
数据说话， 兴业银行上市十年， IPO首发10.01亿,15662,9,434,4.0,2017-06-28 00:51:18
种下一棵摇钱树 赢得广厦千万间,33315,51,187,2.0,2016-10-29 12:44:33
兴业银行二季度业绩稳步增长，机构已调研，正拉,17149,13,163,4.0,2017-07-18 08:28:42
兴业银行等A股优质低估值银行股与欧美优质银行,23229,41,150,4.0,2017-07-12 19:26:21
兴业银行挺进全球银行30强 成本收入比第一 07-0,36342,58,1835,0.0,2017-07-04 16:18:01
基金抱团炒个股是中国式庞氏骗局，隐患危害大16,23967,39,333,4.0,2016-07-21 14:56:26
入M后南京银行、兴业潜力最大,17191,22,136,3.0,2017-06-22 10:41:18
