标题,帖子数,日期,情感
二月二，龙抬头。,3107,27,2017-02-27 10:59:48,0.34771325410962284
妈的,江阴银行涨疯了，你还在这里蔫，难道比不,5093,9,2017-02-27 10:39:44,0.5
上海银行(601229)大宗交易数据一览(02-15),47331,17,2017-02-15 18:15:38,0.10358234255381049
[牛]历史大底已现，暴力满仓上海银行！,5299,10,2016-12-20 10:43:09,0.8816513736789157
上海银行：精品银行 精耕细作展鸿图,514362,44,2017-02-17 05:11:58,0.726679230861578
吴江银行涨停板了，上海银行也会涨停板吗？买买,16636,39,2017-02-20 09:53:01,0.9861667048359927
上海银行：彰显成长中国白马小盘优股(9只),35720,31,2017-01-19 10:55:10,0.9994825571039314
给张家港提鞋都不配,8677,16,2017-02-20 14:37:45,0.19489041948812003
这打压是过分了。,8783,31,2017-01-11 09:57:50,0.18207205018957828
当然持有啦。欢迎围观明天上海银行的爆仓。,33023,95,2016-12-01 15:10:48,0.02828118767965737
已加至78.8成仓。清仓盈利仓位，只持有两只上海,17300,63,2016-11-22 10:44:02,0.010992488171358228
逢低吸纳！,9505,18,2016-11-21 13:24:36,0.8974294372946797
上海银行：金融区位/自贸区/国企混改~注定此股,13137,15,2017-02-16 16:37:53,0.83656276631111
张家港行股价都要追上上海银行了,10360,19,2017-02-17 14:49:57,0.5318099845510905
即将拉升，破31元。,7958,11,2017-02-17 10:44:15,0.1822912623717513
大宗24.50都能买,9334,12,2017-02-17 13:41:54,0.4813266872711547
周一，上海银行将是银行股和次新股龙头，涨停！,19922,40,2017-01-14 18:34:37,0.006955330725696318
上海银行：牛市不能缺绩优银行小盘唱大戏 (附5,19751,18,2017-01-03 15:36:11,0.9907725445196701
10送10转增20派30元！,21789,12,2017-02-12 00:15:44,0.14495651886656957
上海银行要涨要承受住74亿的获利套牢盘！,29662,29,2016-11-19 09:39:23,0.7893874755206342
22.03的成本，能走吗？,6563,9,2017-02-13 11:14:54,0.4506460140673064
上海银行终归属于大块头，期望像小票一样飙升不,6369,13,2017-01-06 09:23:23,0.857217021739659
[牛]上海银行享金融中心机制红利，打造特色精品,5067,7,2016-11-05 09:23:28,0.9993434738100153
上海银行：节后板块轮动依旧 题材与价值(15股),18033,15,2017-01-28 21:03:08,0.5564427234733421
关注上海银行2016年度分配方案：预计每10股转增,22242,9,2017-02-10 22:02:23,0.037082988684680074
上银、今生解套无望！,7263,5,2017-02-12 17:22:10,0.9462222866536091
上海银行走势不仅仅是重复来伊份，会超越，隐藏,112883,146,2016-11-18 16:41:54,0.9344763958137873
亏本百分之二十八，清空三万股上海银行，换成三,17330,16,2017-01-31 16:32:15,0.020130222296654066
打新的朋友们进来拜拜了，拜了多多中签[拜神][,27970,218,2016-10-20 14:30:11,0.9878953327834034
2016年度上海银行业绩是杭州银行的两倍！上海银,12150,13,2017-02-09 11:23:12,0.4949543081524297
思：集体做空小盘新股涉操控  监管当查！,10510,25,2017-01-07 12:37:04,0.9983103566203513
怀疑我是拖的，有图有真相。,25955,35,2016-11-20 08:04:00,0.48673103545241747
气死庄家，今天22.56又继续买入了,7401,20,2017-01-12 13:41:26,0.5156310259606071
重仓买入上海银行，亏惨了,10480,17,2017-01-07 23:08:22,0.28720957179944817
上海银行：被套虽心悲 看好价值加仓战中线！,8319,9,2017-01-17 22:47:22,0.9196029471091821
22年老股民，23元以下买入锁仓，绝不手软！,13090,34,2017-02-07 20:31:23,0.33406616574622816
只有出现新股破发，海量的新股发行才能止步，只,26963,85,2017-01-12 00:36:13,0.23499337256232544
上海银行，今年到3000亿市值，能否赶超浦发银行,10850,12,2017-02-06 12:43:16,0.17722924479984037
任你跌，老子10000股高抛低吸成本已做到14.8元,8898,14,2017-02-05 22:49:34,0.5198647658682154
二十七元多一千手，今生有望解套吗？,25827,48,2017-01-14 18:39:31,0.82129371319978
多少年来，只听说大上海,30547,110,2017-01-10 14:16:22,0.46032052225196163
个人认为上海银行跌破发行价没有悬念。不知道有,12066,25,2017-01-13 20:30:52,0.05223305624694097
【讨论】大盘次新股会不会破发？ ,13819,11,2017-01-18 09:50:38,0.134055477351265
上银明天破21元立贴为证！！！！！！！,8461,19,2017-01-18 20:07:12,0.03647352281872196
[赚大牛了][满仓买入上海银行,如同顶格打新全仓,6326,7,2017-01-12 12:15:01,0.1589371436955056
[护城河]人一生能抄到一只牛股上海银行历史大底,4499,4,2017-01-12 11:34:25,0.9875952703854528
[拜神]人一生能抄到一只牛股上海银行历史大底足,3721,2,2017-01-12 11:28:46,0.9238999516784507
[抄底][满仓买入上海银行,如同顶格打新全仓中签,4152,3,2017-01-12 11:08:12,0.133016507606877
[兴奋][满仓买入上海银行,如同顶格打新全仓中签,4994,7,2017-01-12 10:57:07,0.6621360843159796
[不说了][满仓买入上海银行,如同顶格打新全仓中,3802,3,2017-01-12 10:52:35,0.0794764457681284
[微笑][满仓买入上海银行,如同顶格打新全仓中签,4422,5,2017-01-12 10:39:25,0.4485326305288131
[鼓掌][满仓买入上海银行,如同顶格打新全仓中签,3241,2,2017-01-12 10:31:39,0.4537825522858939
上不上百，看我们中签者,7122,16,2016-11-15 14:37:53,0.5629951838167783
上海银行，韭菜小游资玩真的。血拼割肉佩服佩服,14478,17,2017-01-19 11:44:34,0.5974156548787289
时机磨磨唧唧的差不多了，请积极潜伏  不解释,5948,13,2017-01-19 10:21:44,0.018068875779261084
我敢打赌持有上海银行5年后，复权至少100元以上,18099,15,2017-01-21 00:43:07,0.13693015198403236
随便、随便跌，告诉你，我就是买了,43316,108,2016-12-05 11:27:55,0.02641857945888415
叫你别炒股，这下可好，成光屁股了！,6546,13,2017-01-11 15:33:06,0.24822472313025412
[微笑]消费金融有望成为下一个“风口” 十万亿,6040,12,2016-12-15 12:47:36,0.5947319868027922
上海银行：创新金融服务 支持实体经济发展,6310,4,2016-10-11 02:20:37,0.9962167044423242
上海银行(601229)大宗交易数据一览(12-27),85118,37,2016-12-27 18:11:17,0.10358234255381049
上海银行打造全面风险管理体系硕果累累,48175,28,2016-11-18 06:06:03,0.8541416983943593
前五只银行股已浮盈破百亿！最大IPO上海银行的,25771,10,2016-10-11 18:38:15,0.5131996140529984
上海银行IPO获批 长三角地区城商行将聚首A股,17738,9,2016-10-11 00:42:37,0.42369336703752936
上海银行争取今年上市 上市后分红率不低于20%,22259,19,2016-09-26 08:48:01,0.025555357674416745
今天是30年大底的最后一天,17334,17,2016-12-08 12:25:26,0.27115467302930596
中签没走的举手，怎么办是走是留,10997,19,2017-01-18 14:51:23,0.4083731112299408
上海银行资产收益率逐年走低 不良贷款增超三成,14115,43,2017-01-08 15:31:20,0.38986530385722795
上海银行关键是发行价太高了，和当年中石油一样,9096,4,2017-01-18 14:19:12,0.4580299318112706
22/2=11元肯定买;但愿能买到,3881,9,2017-01-16 20:38:09,0.35942025686198087
2016年快报点评： 收入趋缓，资产稳定，估值便,61170,15,2017-01-16 17:11:12,0.9570373120162443
银行板块表现并不算太糟糕，上银却明目张胆的K,86753,185,2016-11-24 11:24:44,0.46082174339060733
上海银行股价见底了，21块是发行价，是大底。周,12141,20,2017-01-14 20:26:14,0.50726274258583
上海银行最多不超过15元。,3729,9,2017-01-15 18:32:27,0.029494888484189685
新股不能碰了，接盘必死！,4082,17,2017-01-11 10:58:48,0.040534658366584764
过年了，快回家吧，再战斗下去恐怕一毛难拨了。,5639,33,2017-01-10 13:58:32,0.6284139599485263
亏得只剩骨头了，回家吧。,3926,13,2017-01-13 13:56:17,0.6461770709424356
上海银行…………银行界的“中石油”，你懂的[,3302,10,2017-01-12 18:43:46,0.14312165491461737
董秘先生：上海银行是经过包装造假上市的吗？独,18219,32,2016-12-19 18:57:14,0.44026915446888104
热烈祝贺，新股破发,3290,11,2017-01-11 21:02:16,0.2451280452141491
为了集团和个人既得利益，把原本公平的股市当作,3475,10,2017-01-13 09:46:30,0.5541188860028665
上海银行必破发行价，立贴为证!,28845,61,2016-11-29 16:41:33,0.37251178502731375
第一次买到比当天收盘价低！,1118,0,2017-01-13 20:23:10,0.16602689739652232
哪来超大单卖出，赔钱也卖吗？,5461,25,2017-01-13 14:35:34,0.18335932138992783
上海银行还有下跌空间。 上海银行原发行价定7.7,20461,50,2016-12-13 14:23:20,0.09199316340353814
恭喜上海银行成为近几年第一只破发股票,7296,12,2017-01-11 15:25:55,0.26437772593631326
技术分析17元见底坚持就是胜利！,3949,16,2016-11-30 09:58:07,0.7143692368544061
当初中石油，国泰君安上市，也不是大幅破发，上,10132,30,2017-01-06 10:27:23,0.06687151612355335
维持跌到10快，再10送30除权后股价3块，再来一,3857,7,2017-01-11 12:26:18,0.021136911717758444
上银主力最新动态 杀敌800，自损1000[俏皮][俏,16206,59,2016-12-24 10:06:02,0.9239055732362376
多年赚钱经验告诉我，只有敢吃肉的人才能吃到肉,5800,10,2017-01-12 14:14:18,0.15428404378392602
上海银行，你准备破发吗？,7428,13,2017-01-12 20:26:13,0.04107138569025748
10年前被套在华夏银行，现在被套上海银行。发财,11068,10,2017-01-12 17:18:12,0.19812194102440672
先定一个小目标破25,我每天翻一遍.,14578,31,2016-11-24 23:19:20,0.24402173576993824
谁能告诉我：上海银行什么价位可以买入？,7264,20,2017-01-11 14:54:45,0.7313874987314937
国泰君安来了,142263,58,2016-12-05 09:30:30,0.8753843796157047
上海银行：按套路出牌,8086,17,2017-01-09 15:05:33,0.06555784609576765
现在割肉就是傻逼,8945,37,2017-01-10 10:23:40,0.4692778122296848
我只拿我应该得到的那部分，后市即使大涨也不后,3627,4,2016-11-18 21:26:21,0.3911492289920726
22.75成功抄底100手[胜利],6676,26,2017-01-11 10:48:47,0.7076689103727933
新股破发是百年一遇的幸事，卖房典车去干，忍两,6796,23,2017-01-10 15:12:21,0.01654255249474612
22.49准备再买1万股，快快下来吧，别矜持了好不,3346,13,2017-01-11 11:42:49,0.6198398275514015
上海银行你那个净资，收益我怀疑是造假的。怎么,3336,7,2017-01-10 16:04:46,0.28693173206289246
异常下跌的上银是申银万国和国泰君安承销的,21263,67,2016-12-19 18:12:10,0.9996925053866303
601229:上海银行关于完成注册资本工商变更登记,48120,35,2016-12-23 16:18:47,0.08491565887787211
上海银行：套多了总有像样的反弹。,12166,43,2017-01-06 15:44:50,0.05269474683244424
买银行股，买个心静。,7801,24,2017-01-09 15:22:47,0.09334398193240456
上海银行今天要飞了,3802,11,2017-01-06 09:39:28,0.3368608077754368
败家子们， 你们家大人知道你这是在败家吗？,7086,28,2016-12-22 12:59:48,0.6931593464286091
上海银行就是中石油的弟弟，很可能跌破发行价。,5086,8,2017-01-06 16:42:44,0.04605662834248603
本月或下月预告送转预案！据说超预期。目前资金,8867,7,2016-12-01 23:44:23,0.9461783629148055
年底了，比亏大会开会，晒晒自己在这个垃圾亏了,14397,32,2016-12-30 13:06:58,0.4394823999394163
上海银行获准筹建消费金融公司,47917,21,2016-11-25 10:26:16,0.5560989138988272
上海银行(601229)龙虎榜数据(11-18),186570,113,2016-11-18 17:18:17,0.6095147085252589
上海银行今日超大单流入排名第1名(11-18),133783,74,2016-11-18 16:06:06,0.32226012178681684
上海银行上市3天即打开涨停板,142657,92,2016-11-18 13:18:10,0.36381166344069515
上海银行(601229)龙虎榜数据(11-16),77516,55,2016-11-16 16:28:04,0.6095147085252589
上海银行今日上市 批量造富近6000员工,67825,32,2016-11-16 02:37:17,0.8256540865514536
上海银行前三季净利增10.11% 今日挂牌上交所,26642,17,2016-11-16 01:24:12,0.681010594172384
上海银行16日登陆上交所 定位分析,131774,70,2016-11-14 22:05:12,0.2899456146641848
上海银行网上发行中签号出炉 4日缴款,38446,30,2016-11-04 08:53:52,0.021498789283589947
上海银行网上发行中签号出炉 共540405个,54588,68,2016-11-03 21:14:48,0.021693925308155726
上海银行上市将造就39名“准千万”富翁,38984,17,2016-11-03 06:25:41,0.2241795813736428
上海银行网上发行最终中签率0.2301%,39103,19,2016-11-02 21:25:49,0.31539907482045926
上海银行今日申购 刷新今年来A股IPO最大规模纪,19943,32,2016-11-02 04:09:13,0.10675627034123203
上海银行11月2日发行 申购上限18万股,11036,6,2016-11-01 15:16:33,0.006367371479046646
上海银行成今年发行价最高的银行股 难逃首发破,32988,19,2016-10-13 14:19:49,0.04882402804673658
趋势涨停战法:中科电气复制5月18号走势短线翻番,11871,35,2016-11-27 12:49:59,0.8390928979788841
风平浪静，步步为营，风生水起，气势如虹。 为,6639,15,2017-01-06 11:52:33,0.9661238887096968
601229:上海银行关于盐城分行开业的公告,52702,48,2016-12-28 16:16:10,0.10388402651911466
601229:上海银行关于变更注册资本获得核准的公,87232,41,2016-12-05 19:25:21,0.8614847774055994
601229:上海银行公司章程(2016年修订),35380,20,2016-12-05 19:24:35,0.5140083593488899
601229:上海银行关于获准筹建消费金融公司的公,152759,147,2016-11-24 18:49:07,0.6645737751260643
关于N上银(601229)盘中临时停牌的公告,163235,61,2016-11-16 09:45:44,0.41580844357127134
关于上海银行股份有限公司人民币普通股股票上市,106581,45,2016-11-15 09:08:52,0.49518480717699265
601229:上海银行首次公开发行A股股票上市公告书,54098,15,2016-11-14 22:09:26,0.16444987423828594
601229:上海银行公司章程,38950,9,2016-11-14 20:52:13,0.1921683006348338
601229:上海银行首次公开发行A股发行结果公告,147461,34,2016-11-07 20:51:10,0.03757115387976595
601229:上海银行首次公开发行A股网下初步配售结,113944,68,2016-11-03 20:49:33,0.028402207900972698
601229:上海银行首次公开发行A股网上中签率公告,78687,29,2016-11-02 20:04:41,0.07259473323584087
601229:上海银行董事会四届十二次临时会议决议,56634,38,2016-12-19 19:41:27,0.059271846883735324
建仓50万股上海银行  先看它上30元！,10088,19,2017-01-05 20:53:35,0.030161624065620063
有没有中新股没走的[哭][哭][哭][哭],6905,21,2017-01-05 18:16:45,0.9150924863369796
见好就收,8980,18,2017-01-04 14:37:30,0.19659077543174885
真不知道那些唱空的人目的何在  知道是什么银行,20732,37,2016-11-05 11:45:37,0.3294950788347534
上海银行今年必涨到55元！立贴为证！,11053,24,2017-01-03 21:46:27,0.12023785413889765
601229:上海银行独立董事工作规则,32108,16,2016-12-19 19:41:27,0.5263093038006533
还有中签上海银行一直没卖的吗，来报个到,13396,52,2017-01-04 12:54:22,0.1498266249842607
上海银行的抄底时机,35838,47,2016-11-24 17:41:06,0.4421250890477961
一个地方银行，股价搞得这么高，合理价3块钱,5192,12,2017-01-03 11:21:20,0.15716997657570875
成本价23.45元5000股是否要抛、高手指点！,7659,21,2017-01-03 10:22:17,0.05166218623186858
新年第一天，我要对上海银行庄家说：握摇草泥嘛,5315,13,2017-01-01 09:59:53,0.0379196471458505
上海银行，预估价为35元左右！高不到哪里去！ ,26546,35,2016-11-12 22:46:15,0.017892643744145897
问询函 《关于证监会批复IPO等重大事项的问询函,8114,19,2016-12-26 08:16:49,0.18206068043154788
601229:上海银行首次公开发行A股股票上市公告书,70613,9,2016-11-15 01:35:39,0.16444987423828594
下周出分配预案。高比例分红。,18629,12,2016-12-29 13:22:23,0.4112505895707693
601229公告：上海银行关于总行关门歇菜的公告。,10121,14,2016-12-29 13:09:34,0.10391502563901234
601229，还有中签没走的股东吗？,9786,33,2016-12-28 20:20:45,0.25395576201908143
银行股普遍跌破净资产 上海银行 高了,3794,9,2016-12-26 12:49:40,0.005175231389609958
鸡肋也有肉,3524,13,2016-10-10 19:20:19,0.19008915342196775
成本价24.16，今年是解套无望了。,6190,16,2016-12-28 14:52:30,0.3984799913103
本打算买点上海银行，现在暂时放弃,28585,36,2016-11-23 11:23:39,0.3241591824864479
大家成本都是23.48元 谈谈反弹几个涨停,6724,29,2016-12-27 13:13:16,0.17949244647011342
大家集思广益 竞猜明天涨跌 蒙对的我送巧克力一,31428,73,2016-12-22 22:36:25,0.23584729029564122
我站在外围看的清楚，近期新上市一批地方银行，,26626,33,2016-12-15 20:58:28,0.7319835037163666
我立了块咒牌写上海银行高管和庄遭雷劈腿爆菊。,3072,16,2016-12-27 13:22:26,0.3402575696249699
上海银行年报高送转是必须的，10送25派5元也不,16747,24,2016-12-24 18:08:27,0.03306564236738374
上海银行的老板看到自己股票，不知道会有什么感,3866,5,2016-12-27 15:20:53,0.4001274522533431
当年1996年，上海银行成立时，我在工作的单位也,11659,20,2016-10-01 13:00:37,0.2254277263739355
求下联！ 曰出雪水遍地流！,6388,43,2016-12-26 11:17:29,0.06132646543731324
你就不应该上市。害死广大的群众。操你妈的上海,3215,19,2016-12-26 10:21:21,0.07689635214252932
这种天天被人骂的股市是道德败坏的市场,2239,11,2016-12-26 10:10:00,0.968691051801652
被套了，求安慰。,5468,17,2016-11-29 16:09:59,0.22349653000875458
上海银行和中国石油有可比性吗？,9340,18,2016-12-25 09:50:08,0.07172461934584973
上海银行、杭州银行等刚上市大股东就拼命抛售。,3965,9,2016-12-25 22:34:12,0.11461885762902524
发行价太高，开板后迅速一路下跌。本周向破净破,2154,10,2016-12-26 10:31:34,0.857992355612097
抄股有规律，年底低价多吸货，年后上涨我发财！,2900,1,2016-12-26 13:22:44,0.008395483220347444
享金融中心机制红利，打造特色精品银行,92773,50,2016-11-03 10:43:53,0.9992578346115485
上海银行，年报出来后就知道是谁在作妖！ 清仓,12410,8,2016-12-25 08:41:09,0.6232076721514991
大家周末都去上海银行门口大便，罚款也要拉~~ ~,7769,38,2016-12-23 15:40:29,0.8437224324178703
绝望,3604,8,2016-12-20 14:03:37,0.578947368421053
一群空狗叫叫叫 抛出走人不就好啦 难道叫唤空还,4033,18,2016-11-29 08:47:27,0.05453928022678256
不盯大盘，只盯跌幅!买的就是跌，不跌还不买呢!,2689,9,2016-11-30 15:29:12,0.14066825748771272
没有大跌，怎么会有筹码出来？ 没有筹码，怎么,12452,26,2016-12-02 20:08:36,0.7104986098005571
一网打尽,6378,29,2016-11-24 17:24:54,0.8
享金融中心的区域优势，经营具有差异化,108704,41,2016-11-21 14:52:54,0.9885945126535881
27.88元买了5000股被套怎么办？ 上海银行这么差,8428,16,2016-12-12 19:50:43,0.013489889247682352
大家说这个垃圾股票能跌到多少，说说看，本人已,8523,21,2016-12-21 11:21:42,0.04829741574130497
好漂亮的3季报 每股净资产19元，每股收益2.02元,24021,31,2016-11-14 20:59:59,0.8275607008313466
此股中线可以抄底了吗？,24092,62,2016-12-14 11:19:09,0.13953468559433269
每股净资产19.13，每股未分配利润5.95，最基本,12359,15,2016-12-19 17:56:07,0.0854605453048215
十年大底今天下午10分钟之内形成,8243,10,2016-12-08 12:28:37,0.4132293721991753
瘪三肯定破发，明年还有一堆的老瘪三等着减持呢,2311,5,2016-12-19 16:35:19,0.16417042438745633
再见，伤害阴行！没有上海银行就没有伤害！,12131,32,2016-12-13 19:47:01,0.6978621928645358
有没有比我惨的？27，39全仓,8753,18,2016-12-19 16:19:58,0.28754806538683375
尸横片野，血流成河，小散争先恐后踩踏试割肉，,7402,10,2016-12-19 12:53:24,0.9463859662919789
准备22.5抄底，大家认为可以吗,6280,18,2016-12-19 16:53:45,0.3508009874402408
不排除三天内有一个涨停,4488,12,2016-12-19 13:11:47,0.11668484326234996
内部消息:上银年报10送30派现8.8元！,6951,14,2016-12-19 15:35:52,0.058261071524856156
30.8买的10000股还能解套吗？,11781,40,2016-12-19 12:12:22,0.7502882530043048
是不，跌11%了,4125,20,2016-12-19 13:22:42,0.1225328364896422
