标题,阅读,评论,字数,影响力,时间
今天至少要跌3个点，明日低开低走，十点跌停，,8578,23,172,0.0,2017-08-29 13:04:55
祝留下的发财,5490,12,122,2.5,2017-08-29 10:58:17
东方雨虹再投三十几亿入住华夏幸福滁州开发区！,11854,6,137,3.5,2017-08-28 17:23:09
华夏幸福上半年预收1300亿 业绩远超同期,58881,8,2555,0.0,2017-08-21 05:59:14
解密华夏幸福隐秘而庞大的招商帝国    园区界 ,9543,14,12584,0.0,2017-08-24 11:15:33
祝大家周末快乐，周一低开低走，十点跌停,9839,22,148,0.0,2017-08-25 15:46:30
[牛想一下]女士们先生们朋友们！战胜内心的恐惧,8135,16,417,3.5,2017-07-23 20:15:18
600340:华夏幸福关于签订浙江嘉兴科技城产业新,58493,28,1912,0.0,2017-08-25 16:21:50
600340:华夏幸福关于拟与浦发银行广州分行签订,42099,9,2013,0.0,2017-08-27 15:05:49
股东户数从5万增至14.7万，我只能哈哈哈！,18606,25,182,4.0,2017-08-18 15:18:15
俺不知死活滴进来了,75634,158,123,0.0,2017-04-12 10:41:36
华夏幸福为区域发展注入活力：净利润增长超三成,30214,31,3400,0.0,2017-08-20 02:04:15
我研究华夏幸福10余年，说句不客气的话，对此股,30472,47,290,0.0,2017-08-23 10:50:53
叶檀：华夏幸福跟开发商根本不是一回事！看完这,19305,9,4286,0.0,2017-08-24 15:22:41
不管对错，走了！大家发财,10581,39,134,0.0,2017-08-14 10:54:19
紧急通告：立即抢购7.25元历史最低位附近的金钼,7613,18,227,3.0,2017-04-24 13:01:54
产业招商稳定增长，异地复制初见成效,43357,21,1536,0.0,2017-08-23 17:21:42
华联控股与华夏幸福的比较研究,11881,10,1203,4.0,2017-07-24 19:43:48
地产业，谁能算得上华夏幸福真正对手？,14990,19,3120,3.0,2017-08-22 22:06:39
业绩增长稳定，销售价格提升明显,45001,13,893,0.0,2017-08-23 10:43:30
PPP资产证券化成功落地，产业新城开启内生增长,26591,4,1270,0.0,2017-08-18 11:02:05
能坚持到明年的今天的，进来报到,20918,30,256,2.5,2017-04-19 21:42:05
格力好还是华夏好？,8892,8,125,4.0,2017-08-21 13:18:07
投资华夏幸福不得不想明白的问题。 作为华夏幸,11896,23,545,0.0,2017-08-20 20:24:27
600340:华夏幸福关于下属子公司九通投资2017年,53964,14,1024,0.0,2017-08-18 16:49:00
我很少发图片，这图太美了，周线漂亮的很,13124,9,148,1.5,2017-08-13 15:33:00
17年中报点评：如日方升，欣欣向荣,69855,11,1732,0.0,2017-08-20 16:12:18
华夏幸福2017年上半年净利润达53亿 增速高居同,65658,13,2943,0.0,2017-08-19 04:12:53
华夏幸福产业新城（单位：平方公里）,15515,20,1798,3.0,2017-08-19 10:23:08
华夏幸福明天开盘若不下跌，我永远退出东财股吧,18810,41,140,0.5,2017-08-17 13:20:22
北京向东：筑起文创高地的大厂产业新城,7137,4,5974,3.0,2017-08-19 10:51:18
华夏幸福(600340)融资融券信息(08-18),9387,4,532,0.0,2017-08-19 08:32:00
华夏盈利质量不高 华夏中报盈利54亿，增长35%，,20327,50,401,0.0,2017-08-18 20:12:12
3600人！这可能是你听到的最骇人的产业发展队伍,9465,7,1516,3.0,2017-08-18 19:11:44
【联讯中小盘中报点评】华夏幸福：区域拓展再上,42061,10,1582,0.0,2017-08-18 14:33:09
华夏幸福2017年中报点评：产业服务继续高增，销,43981,6,1356,0.0,2017-08-18 13:38:13
华夏幸福“幸福”路径揭秘：10年内有市场的产业,43189,9,3487,0.0,2017-08-18 00:56:59
600340:华夏幸福关于与四川省眉山市仁寿县人民,26435,7,1936,0.0,2017-03-03 16:28:27
建信信托拟为华夏幸福间接全资子公司增资15亿元,19182,8,457,0.0,2017-08-18 01:36:20
华夏幸福半年净利近54亿元 园区异地复制盈利逻,36389,8,1618,0.0,2017-08-18 01:42:23
华夏幸福：上半年净利53.67亿元 拟超10亿元回购,61146,16,345,0.0,2017-08-17 18:47:50
华夏幸福积木式发展 每增一座城或增80亿+市值,23058,36,4698,3.0,2017-08-13 15:26:36
我今天说过华夏幸福明天必定低开的，有谁不服的,10162,18,436,0.5,2017-08-17 23:56:03
如果晚上年报公告证金已经出光，你猜明天华夏幸,15761,40,217,0.5,2017-08-17 12:34:11
我来粗算算华夏中报业绩，欢迎指出错处！ 园区,35688,59,567,2.5,2017-07-25 11:36:05
600340:华夏幸福2017年半年度报告摘要,45375,13,1069,0.0,2017-08-17 16:54:04
中报速递：华夏幸福2017年上半年盈利53.67亿元,30772,13,232,0.0,2017-08-17 19:14:32
600340:华夏幸福2017年4-6月经营情况简报,191137,115,1953,0.0,2017-07-14 16:35:00
还有四百多手融券，你敢涨我就敢做空，准备融券,4497,30,157,0.5,2017-08-17 13:57:28
今天要向60天线发起攻击！,8594,17,72,3.5,2017-08-14 09:23:15
华夏幸福中报预计增长多少？,31520,31,77,2.5,2017-08-14 22:07:56
此时此刻，谁个二逼卖华夏？除非不是华夏人！这,14122,15,211,0.0,2017-08-14 11:27:50
中报一出，连续二十五跌停，见证奇迹，立帖为证,14897,18,154,0.0,2017-08-15 10:58:41
最近有庄托因为我说了实话，要举报我，我相信正,12882,22,193,0.0,2017-08-07 10:09:00
600340:华夏幸福关于取得嘉兴科技城产业新城PPP,46338,11,581,0.0,2017-08-11 18:03:47
