标题,帖子数,日期,情感
凡人：危险时要说真话。,4661,4,2017-05-14 10:48:06,0.3877587323359525
抛！经济恶化,拉股价，用人性贪婪，忽悠股民在,36583,47,2016-01-29 14:22:01,0.8250483988915179
2015年《世界品牌500强》排行榜今天发布，工行,142119,138,2015-12-16 08:39:07,0.5559610629783303
致宇宙第一大行的一封信,21834,31,2017-01-24 11:36:29,0.9128024595465362
证金汇金养老金股市喊你们回家年收益20.67%可进,79215,74,2016-02-29 12:00:14,0.9909076507026555
证金公司减持银行股 工行招行浦发民生均遭减持,383466,864,2016-10-28 21:52:37,0.07363851202827987
水龙吟,1159152,8515,2016-09-10 15:57:46,0.5
抛！机构连拉股价，用人性贪婪忽悠小股民在高位,12449,22,2015-11-24 10:51:16,0.96512331570731
居然有人炒工商？全年僵尸股都炒，病得不轻,45737,134,2016-04-14 11:01:01,0.008675193464467212
工商银行：2016年净利润2791亿元 同比增长0.5%,24492,20,2017-03-30 16:54:02,0.2609015832400623
工商银行一季度纯利同比微升1.37%至757.86亿元 ,9395,5,2017-04-28 16:59:46,0.05089789536099887
工商银行：一季度净利微增 不良率1.59%,16659,8,2017-04-28 17:02:48,0.23658785500967638
凡人：股市做跌容易，做多极困难,11431,25,2016-12-14 10:17:56,0.8956533593181364
什么情况什么情况什么情况,6190,3,2017-04-21 15:05:25,0.181384975967531
工商银行也来个大红包,3532,36,2017-03-20 09:26:07,0.04674265268200761
4.0工业革命凸起黑科技受惠的上市公司（转发）,10938,20,2017-04-03 12:27:36,0.3092450799178701
最小的南京银行仍高速成长，大象工行走路迟缓了,16808,29,2016-04-06 07:30:36,0.9919104403802859
消灭五大国有银行长期严重破净现象的建议和措施,16718,15,2017-03-01 12:51:27,0.006721386358363612
行情尾声，注意风险！经济每况愈下，牛市没基础,17653,31,2015-11-18 14:13:35,0.9972142685143891
紧急通告：立即抢购处于历史低价的金钼股份6019,30863,41,2015-12-17 10:29:15,0.9933145453270636
银行大考来临，来看看哪家会挂科？,49336,11,2017-03-30 08:39:35,0.9084197575641554
工商银行2016年平均日赚7.65亿元 不良贷款率微,12899,5,2017-03-30 17:53:19,0.009905323199437155
写给徐翔，警示后来人,51885,105,2015-11-03 19:32:08,0.7061539710092012
工商银行 能量朝稳步走高，五线向上牵大牛！,24210,544,2017-03-23 19:49:59,0.6827702414896435
写给徐翔，警示后来人{2},102914,224,2015-11-14 20:35:10,0.6838992929243569
互联网经济迎来寒冬：阿里巴巴暴跌4.42%，市值,5316,7,2016-12-04 18:20:11,0.7771160394982856
在两大黑科技中率先得实惠的上市公司,7309,8,2017-03-15 17:29:45,0.9851434526794781
起来！起来！中国人民团结起来让工行一飞冲天！,2480,0,2015-10-22 14:23:20,0.9066894289203292
高送 军工 优新,16746,169,2017-02-24 15:38:41,0.5919363212704155
红绿横拖千里外，赤乌坠落九云边。。。,4830,6,2016-01-11 16:39:12,0.08671944845792434
狂人预测黄金坑,23654,37,2017-01-22 13:56:12,0.8253537742749999
2016年:高手的盛宴 - 高抛低吸贯穿一年的主基调,26837,53,2016-01-30 22:38:44,0.9864657016354522
所有的房产只能抵押一次，禁止重复抵押！抵押房,13168,8,2017-02-05 12:57:13,0.0018469319122820238
祝我们的祖国繁荣昌盛！,30601,141,2016-10-01 17:25:54,0.9618564995093432
你参与的是一场骗局(scheme)，而不是一个市场,51878,86,2015-09-06 12:14:32,0.8541965484437787
证监会：请依法治市、全面监管！查处操纵股价的,32680,57,2016-03-25 08:51:53,0.6852000378039905
证监会：请依法治市！查处中石油等操纵股价的不,17225,41,2015-08-18 14:13:20,0.05814892224631718
银行股不是护盘,21576,27,2016-03-04 20:43:07,0.025739278058996562
农业供给侧改革概念，首选4.76元的一好当家,9596,19,2016-12-18 16:26:30,0.999692520984345
大盘调整未止，收好这些更安全的高股息率个股,32495,5,2016-12-19 16:53:23,0.18790287488392932
我不持有工商银行,109274,1424,2016-10-22 14:59:08,0.01656863656560492
工行与山东黄金集团签署框架协议 开展百亿债转,45087,27,2016-12-09 13:23:52,0.9356801643642327
拓展主业务风光独好 冲刺黑科技金光灿烂（共享,19824,35,2016-11-01 16:20:44,0.999918758421631
特别提示：2600点，指日可待,9109,22,2015-09-16 10:39:03,0.37424551441435283
别买入呢，现在的行情，你买入就是个信球,4697,29,2016-02-03 09:48:59,0.9833632823559683
601398:工商银行境内优先股股息派发实施公告,37703,12,2016-11-14 18:49:26,0.026564974523855867
尾市清仓建行、鞍钢、宝钢,7614,11,2016-11-28 17:20:56,0.11189613716797764
凡人：终于看到做实事的管理层了，发现问题但仍,10205,99,2016-11-24 22:08:19,0.2029105366362869
要急涨至8元,抢入,戓坚定持有,19886,19,2016-11-14 17:17:58,0.2821197297443301
关公抱子,13447,23,2016-06-04 20:29:47,0.7215194818981374
银行股价值回归，低估了两干点，中小创高估了一,11854,10,2016-11-25 15:56:23,0.6777191611462884
工行今年下午机构出了不少货，量极大，也不知啥,7712,9,2016-11-22 16:36:43,0.3525172045208472
工行获批深港通下港股通业务结算银行资格,8310,4,2016-11-17 16:47:08,0.005723333733901881
[大宗交易揭秘]·601398:工商银行H股公告(15-10-,12285,10,2015-10-31 08:32:48,0.005980925886117872
上市公司现金分红“宫心计”,41248,14,2016-04-21 04:39:54,0.899287555701335
工商银行2015年三季报[震撼全球][点击查看原文],15032,10,2015-10-17 12:27:55,0.07848231867064603
工商银行(601398)大宗交易数据一览(11-04),8747,3,2016-11-04 18:11:43,0.03336676948437822
工伤银行要涨停，我买进了哈哈,7511,10,2016-10-28 23:38:56,0.3334355527717128
数万亿打新资金首选大蓝筹,47251,28,2015-12-17 00:44:46,0.9998472518716083
@工商银行牛牛啊@,4621,17,2016-10-28 21:37:28,0.829258024316232
劳资买了工商银行几个月啦，从来不管它涨跌几分,4385,23,2016-10-28 18:26:27,0.02005251441852285
