标题,帖子数,回帖数,时间,情感
大秦保持现在的分红15年可收回投资，公司截留的,8660,22,2017-07-28 18:29:38,0.30779117440446246
国家的利益高于一切，为国扶盘！,5554,11,2017-07-17 10:08:22,0.7173792079971587
未来十年，持有蓝筹股多的成为富豪…,7814,9,2017-07-15 14:38:19,0.886010035317662
大秦铁路(601006)融资融券信息(07-17),6507,4,2017-07-18 07:45:17,0.7884728735409863
大秦铁路：只要不跌破5天均线，仍可继续持有！,2755,3,2017-07-20 13:26:42,0.016871589262784537
大秦铁路：上半年净利预增90%左右,31279,18,2017-07-06 15:41:56,0.11764778420177668
看着K线，我陷入了沉思。,9322,44,2017-07-12 18:30:06,0.9602235724613903
大秦铁路（601006）：有一千个声音喊你下车,17605,15,2017-06-30 21:20:39,0.6812865295511678
大秦铁路：关于大秦线完成3万吨组合列车试验的,8204,11,2017-07-12 20:56:43,0.8381763061597908
大秦果然猛！,8627,28,2017-07-17 10:30:39,0.8630530555797126
601006:大秦铁路关于调整煤炭运输价格的公告,79608,43,2017-03-24 20:22:53,0.1905701215490746
热烈庆祝《大秦铁路》迎接八一建军节即将发动首,11054,24,2017-07-05 15:14:44,0.8999647115601841
大秦铁路(601006)融资融券信息(07-13),5896,4,2017-07-14 07:46:02,0.7884728735409863
大秦的混改一定会惊天地泣鬼神，不但招来了阿里,7130,8,2017-07-17 13:50:21,0.03064541022377487
经本人超能牛市指标研究得出结论，2014年的金陵,8124,9,2017-07-17 16:01:37,0.9993555416761816
可能被非法抽走三分之二利润，它还这样优秀！,7404,29,2017-06-26 03:55:04,0.19635361282860275
601333广深铁路：直线拉升，准备要涨停！,2891,4,2017-07-14 10:30:20,0.7429224248352909
大秦线历史PE估值与煤炭价格走势相关,7756,8,2017-07-08 23:11:07,0.3861477994737522
高盛说过，大秦铁路是中国股市中最垃圾的股票，,9303,15,2017-05-18 10:40:13,0.987749364799136
下周上证50和沪深300将暴跌，大秦将开启闪崩模,10755,21,2017-07-14 15:18:15,0.7020073548417433
B股是散户资金避风港，B股将为疯狂的市场。,42954,93,2016-12-28 17:12:32,0.8792316081649909
六大电厂日耗首破70万吨，高温提振火电耗煤,4596,5,2017-07-15 08:23:46,0.021574146237533176
大秦在高位，越涨越卖，只卖不买,50505,127,2017-05-16 15:14:07,0.6362878193223082
大秦铁路真是一个好股票，我错过了……也给我深,5262,4,2017-07-07 22:41:26,0.9865038532051781
怀疑人生,5896,12,2017-07-13 13:55:45,0.6923786120385603
2014年以来到现在涨幅超三倍以上的所谓白马，20,3285,10,2017-07-03 22:33:46,0.8085808318875445
