标题,帖子数,回帖数,时间,情感
当年48买的还好吗?,6428,7,2017-03-11 11:20:32,0.9064123569117615
麦格理：降油价预期至50美元 调低中石油中海油,37936,19,2017-06-21 16:38:25,0.02972560655066181
进场: “双重改革”受益股,社保养老金标的股,7232,6,2017-07-30 13:19:01,0.9893200488469195
一年之内，中石油股价绝壁回到40元以上,15679,38,2017-07-26 15:31:00,0.2914689193916955
笑哈哈咯咯咯，业绩去年翻倍股0.99，今再翻倍超,9135,20,2017-04-28 10:46:21,0.6839925814452342
小小建议,12769,61,2017-07-17 14:12:19,0.6106693445754431
我支持江门李坚明的看法………2007买中石油是赌,19740,60,2017-07-09 19:07:08,0.9568250269656298
美国高盛预测中石油要跌到0.81元，世界第一垃圾,13361,31,2017-06-16 10:43:01,0.9083723947216621
价高估不如下全转买*一路一带龙头600307酒钢宏,36096,135,2017-05-01 21:57:47,0.8659216100580376
进场: “双重改革”受益股,社保养老金标的股,4130,1,2017-07-29 11:47:48,0.9893200488469195
咯咯咯！抢盘了，抢盘了，黄金砸头！晨鸣投资价,13788,43,2017-02-28 13:28:26,0.9996580281845514
中石油净利预增逾16倍 社保重回水井坊股东榜,32361,6,2017-07-27 01:13:34,0.0013048237138058028
我满仓中石油！,41428,86,2017-06-09 10:38:15,0.09562930334569908
中国石油上半年净利预增逾16倍,17824,19,2017-07-26 17:04:58,0.015582911202043581
中国石油：上半年净利同比预增超16倍 为90亿-11,27199,12,2017-07-26 17:22:16,0.035160971695061494
601857:中国石油2017年半年度业绩预告,53616,18,2017-07-26 16:29:05,0.33134359758319964
《中油：请铭记这一天 》,48035,63,2016-09-25 16:42:04,0.7318306118363617
中国石油预计上半年净利润90.00亿元至110.00亿,11686,6,2017-07-26 17:04:05,0.06705182045743785
下周买入中石油 必赚,7718,7,2017-07-07 22:14:23,0.41676105375977435
基金抱团炒个股是中国式庞氏骗局，隐患危害大18,28735,52,2016-07-22 08:47:54,0.9372732353649101
中石油发布改革路线图,22930,10,2017-07-25 07:05:37,0.9530156597860424
实战炒股口决： 十四工作线，来回做波段；突破,28190,55,2017-03-07 08:11:01,0.986755970349184
超级短线如何玩才能赚到钱？     所谓超级短线,17035,22,2017-01-29 14:25:19,0.4251982713748341
中国石油(601857)融资融券信息(07-20),4247,4,2017-07-21 07:47:46,0.5962429800784687
B股是散户资金避风港，B股将成为投机者生存的市,31744,93,2016-12-28 17:04:55,0.643790454857328
中石油欠全国股民一个公平,10975,22,2017-04-16 19:18:31,0.05135640380993256
李坚明正在边吃茶点边欣赏报道他的电视新闻片《,23683,70,2017-03-16 22:10:21,0.9806353906368533
虽然小散做中国石油不容易赚钱,22932,39,2017-02-15 09:13:16,0.11654270395118627
中国石油也将收复失地，重整雄风，,27470,41,2017-02-20 15:32:09,0.07244933928170072
老羊不忘档恩，参与了一次又次护盘行动[大笑],9760,16,2017-07-17 15:02:43,0.9595244257469847
晕倒，拉银行股还不够用，最后最大的中石油也开,7272,12,2017-07-17 14:45:42,0.005581858154308783
天然气和石油资源价值，支持估值回归,24837,9,2017-07-10 15:13:30,0.8799605166690819
看中国石油,13256,19,2016-11-22 18:10:02,0.31383792259743204
十年一轮回，重仓中石油,70739,108,2016-11-26 20:18:40,0.09858509796130444
看今天的港股.本人李坚明真的为我在炒中国石油,20153,47,2017-06-28 00:32:38,0.03820961654731592
四油企分享第三批成品油出口配额 地炼无缘或致,4940,4,2017-06-29 06:49:19,0.4807611009438111
2017年还是大监人夭操盘中国股市 没戏!,12845,33,2017-01-02 22:08:22,0.9468761751526669
一股601818光大银行比中油低近4元钱,2583,55,2017-04-30 17:50:49,0.02998201346609497
央企交叉持股又有新进展 中石油34亿元股份无偿,51240,10,2017-06-28 00:38:30,0.06813894975669876
