标题,帖子数,回帖数,时间,情感
600547:山东黄金2017年第二次临时股东大会决议,41998,8,2017-06-19 19:26:19,0.8818134597216211
符合预料，不符期望。 原来的帖子对涨跌都有预,11114,14,2017-05-20 17:18:35,0.05116651077162693
黄金股涨得怀疑人生！美股崩溃了今晚！,14817,35,2017-06-12 14:07:09,0.3558604083331437
山东黄金怎么样？,18744,32,2015-10-27 11:19:08,0.8805131216845703
600547:山东黄金关于收购阿根廷贝拉德罗(Velade,77129,31,2017-06-16 16:03:52,0.9960827422750136
2017谨防37.5之上诱多。,24833,50,2017-02-15 01:58:31,0.9764091886824322
几件小事的补遗,9158,14,2017-06-09 19:44:46,0.5125916063182077
急跌，弱反弹。再跌，起稳，杀跌，进场～  再过,3746,18,2017-05-25 17:49:11,0.010482700199695438
山东黄金近期暴跌之谜 别给庄家利用,31158,22,2017-05-26 19:19:21,0.9946871661966513
600547:山东黄金2017年第二次临时股东大会会议,43453,10,2017-06-12 15:55:32,0.7886103328538464
山金的勇士们,冲冲冲买入等待H股公告定上38元,5725,21,2017-05-26 09:53:26,0.3750780384166793
600547:山东黄金第四届董事会第三十八次会议决,50276,16,2017-06-01 16:02:52,0.2346031924995612
美国三大股指,2161,12,2017-01-06 12:48:17,0.6953524459643177
就你这个傻股不涨,6734,13,2017-06-07 13:23:57,0.5190146996102576
狗庄你还洗盘？,7129,12,2017-06-07 13:23:47,0.7666481960572511
这股坑爹啊,5045,13,2017-06-07 13:19:51,0.046025821980949067
祈求一个平开的机会,10736,8,2017-05-18 09:08:58,0.6952791273043497
黄金多头川普被捕,9914,6,2017-05-18 16:30:38,0.9851155225917853
27元来抄底,13955,12,2017-01-08 22:15:02,0.22594113399404936
28块97卖了，不知对错？,10900,17,2017-06-05 13:13:55,0.08742623323553134
明天跌多少？,15622,38,2017-05-18 23:35:14,0.10474646617424499
山东黄金：香港子公司拟向境外银行贷款12.6亿美,36704,6,2017-06-01 16:37:13,0.9862506510802489
不跌破28能转势的话,15231,22,2017-03-11 20:37:32,0.02157389111722452
明天三金爆涨。,23898,164,2017-05-30 17:41:55,0.21450573172346177
控告GRD山东黄金,11252,16,2017-05-19 14:55:28,0.8565889445737208
600547:山东黄金关于公司股票复牌的提示性公告,174244,100,2017-05-17 16:47:19,0.9648600143679116
600547:山东黄金2016年年度权益分派实施公告,93081,28,2017-05-25 18:40:54,0.9156278197132587
啥时候到20？,7511,12,2017-05-28 17:28:48,0.5
这栋别墅外观怎样,7425,26,2017-05-29 09:46:48,0.9114654624582007
600547:山东黄金重大事项停牌公告,179420,43,2017-04-05 20:40:36,0.8999102016548813
600547:山东黄金关于终止筹划非公开发行股票事,101610,37,2017-05-16 16:01:42,0.8366065627131342
著名经济学家沙黾农先生在他的博客中写道：“60,7428,16,2017-05-26 14:45:52,0.998527979677309
早清仓，别彷徨！ 十年炒股两茫茫，先亏车，再,8203,11,2017-05-26 10:28:14,0.5376948655785007
山东黄金(600547)大宗交易数据一览(05-26),38880,13,2017-05-26 18:15:30,0.7049700763789515
在玩什么呢？没气了吗？,4395,14,2017-05-26 14:40:34,0.6460938340428483
宁波港601018重大事项复牌联手山东,60835,83,2016-04-07 11:17:46,0.6345242606209921
50.98元就是2016年的最高点,30728,47,2016-07-28 12:37:22,0.31842535537669403
山东黄金复牌暴跌之谜 山东黄金年报时公告发现,20798,15,2017-05-24 22:08:47,0.9945859502206178
请大家善意赐教          山金到座了吗？？ 为,19852,36,2017-05-22 17:21:20,0.01669149130093972
山东黄金(600547)大宗交易数据一览(05-23),53099,13,2017-05-23 18:48:13,0.7049700763789515
[成交]IPO常态化,养老金入市长期化，漂亮50永远,3108,3,2017-05-21 22:21:44,0.6941929859959127
紧急通告：立即抢购处于历史低价的金钼股份6019,24770,41,2016-02-05 10:22:55,0.9933145453270636
