标题,帖子数,回帖数,时间,情感
联昌国际集团（CIMB Group） 是一家马来西亚全,12926,3,2017-03-24 20:09:20,0.43531078660343037
中国银河3月24日将继续振荡向上！,20569,25,2017-03-23 16:12:26,0.17151810189780614
有什么可担心的，看今天的中原证券的牛市也难寻,21195,22,2017-03-17 20:45:16,0.952713846609598
大盘回调不要跑 抱着银河怕个叼,13165,27,2017-02-15 11:10:17,0.3292843761688288
彩莲3月1日股票操作要点！,20230,54,2017-02-28 22:42:05,0.3688659965312606
601881:中国银河H股公告(董事会会议通告),67719,34,2017-03-20 18:16:39,0.14602422768205692
两点以后还有新高,4108,11,2017-03-23 12:52:49,0.773777288959741
中国银河经过四个交易日的调整，完成短期的振荡,18593,42,2017-03-22 21:22:49,0.8339796737557712
昨晚梦见中国银河今天涨到14.8,6038,23,2017-03-23 08:58:22,0.7300031113162994
谁买？谁卖？,31482,21,2017-02-18 06:58:41,0.48244778683568157
中国银河[微笑],1288,1,2017-03-20 10:59:39,0.8597538915336826
既然大盘风险得到化解，在风险降低的背景下,1781,4,2017-03-21 09:24:58,0.9678224624950552
银河必火,2074,19,2017-03-20 13:45:21,0.4592070934982383
中原证券飞了，银河跟上,1790,28,2017-03-20 13:44:31,0.48123303955821106
没有中原，就没有主心骨,2753,35,2017-03-21 10:58:54,0.4737672181921917
中字头集体发力,3240,35,2017-03-21 13:03:44,0.901526027464046
坚信中国银河!,3069,44,2017-03-14 14:55:57,0.9309712132141069
股价说明一切,1218,20,2017-03-17 10:55:18,0.7499999999999999
拜财神，求中签,1796,29,2017-01-11 08:06:19,0.46753229448919964
覆盖广泛,917,16,2017-03-17 17:07:57,0.647058823529412
幻想      与        现实,962,0,2017-03-17 14:37:20,0.9820847120202817
疑似银河落九天,1217,1,2017-03-17 15:39:33,0.08546172804929386
想哭饿！今天最高点进！要死了,34017,155,2017-03-17 09:37:42,0.23738444385864754
被洗出去了,1389,23,2017-03-16 11:15:34,0.22361809045226133
昨天说过，冲高走人,1679,7,2017-03-17 17:55:10,0.7302879971594095
第一，周五下午次新熄火后，“一带一路”概念股,2927,12,2017-03-20 08:27:19,0.9555645514816937
谋求新的方向。我们从以下几个层面去研讨一下：,1793,12,2017-03-20 08:26:40,0.9664347452196865
原来中原证券是龙头，银河是垃圾。,1302,9,2017-03-16 11:18:12,0.02952491376706079
[献花][献花][献花][献花][献花][献花][献花][,971,4,2017-03-16 11:44:18,0.06198059409769319
次新银行，次新中小创，次新高价股，整个次新股,2473,13,2017-03-17 22:15:28,0.011728704774919274
这波春季就是次新银行证券主导！别的不用看,1692,13,2017-03-18 08:47:46,0.7900197791362513
