标题,帖子数,回帖数,时间,情感
最大利好之一是关联企业少交税，亏的是国家,2408,15,2017-06-18 19:51:30,0.317626437814887
中国股市有木有电话会议股东大会？,3081,17,2017-06-17 11:37:35,0.970782945711927
重组之后长期看涨,7238,19,2017-06-16 16:14:29,0.4031452926172929
中国神华：神华财务上半年净利润同比增长21%至,27562,5,2017-07-13 17:41:20,0.9394753924011822
中国神华：澳大利亚部分探矿许可被撤销获经济补,22009,12,2017-07-12 19:48:28,0.9966988441504193
中国神华,16335,20,2016-11-22 19:49:52,0.8292533135272021
神华2月煤炭销售同比急升64.5%,9420,5,2017-03-16 17:52:42,0.047455709518035794
央企混改方案或将密集出台 神华最快下月收购国,47709,9,2017-06-30 10:19:19,0.39346606030281583
神华8月开盘有几天一字板？？听我道来。,37935,31,2017-07-06 15:47:04,0.04081294474635366
复牌预估三个跌停！,25956,37,2017-06-09 21:32:13,0.08455918132020646
中国神华是连续重组？ 重大资产重组不超过一个,32098,52,2017-06-06 15:43:29,0.8623298440749336
神华再到神话有多远！20151022,15619,59,2015-10-22 21:56:50,0.8985836607650209
中国神华：本次交易对方拟为大型能源国企 股票,170965,61,2017-07-03 18:03:22,0.07322204535949128
601088:中国神华2016年度报告,57901,9,2017-03-17 20:48:32,0.8924241903045019
601088:中国神华2017年2月份主要运营数据公告,23652,9,2017-03-16 19:10:50,0.859340766307222
神华、国电公布重大事项进展，组建“中国神电”,30510,41,2017-07-04 18:27:50,0.5915325597175292
神龙风电受益最大,9551,31,2017-07-04 21:13:21,0.5707500332752364
神华继续停板一个月，若国电不跟随……,9283,16,2017-07-03 18:45:51,0.3975334095173505
怎样都会跌啊,1554,17,2017-06-12 09:35:10,0.26662555322795867
基金抱团炒个股是中国式庞氏骗局，隐患危害大08,27206,36,2016-07-22 08:48:29,0.8807135810571566
10年了，还低于发行价，情何以堪！！！07年36.9,15591,14,2017-07-01 21:32:46,0.3504826375971388
下星期应该复牌了，我已经准备好了。,23463,17,2017-06-30 00:26:18,0.4389602603793413
收购国电后，股价变化估计,37291,19,2017-06-29 12:44:00,0.9744826906851894
中国神华：控股股东拟筹划事项属重大无先例事项,204918,139,2017-06-18 14:07:08,0.8812875952800259
金徽员工听好了我们支,4553,25,2017-06-29 06:34:15,0.7331590823161115
重组失败,10343,53,2017-06-04 21:16:53,0.4118453535933234
