标题,帖子数,日期,情感
专访中国联通副总经理姜正新：混改后与BAT已是,23819,2017-08-27,0.32089053409518065
期待联通能成为混改的标杆,73378,2017-08-19,0.5818717701318783
11:02准时起动……,106715,2016-11-16,0.18512337458786832
主力割韭菜割到手软一一一一一一一一一一一一一,6080,2017-08-30,0.902542726374522
联通的业绩太差了，股价太贵了。,4641,2017-08-23,0.5745826040141739
BATJ 入股联通 今日头条们要开始担心了,16490,2017-08-29,0.9489217926984788
这就像一个丑男，拉几个帅哥过来合了影。丑男就,9588,2017-08-16,0.3440883822213232
中国联通具备妖股的特质,21955,2017-08-24,0.9906085208617874
明天低开低走 8元以下了。,8198,2017-08-30,0.039834424229204246
错判只因你轻视了联通的混改方案,57184,2017-08-26,0.11399926006491012
联通混改发出了怎样的信号,55751,2017-08-29,0.14660295820841363
瑕不掩瑜：中国联通将成为国企混改里程碑,111929,2017-08-20,0.9017892940581894
中国联通(600050)融资融券信息(08-28),17691,2017-08-29,0.9627462005668986
重点分析，明日联通必将大涨这样的分析，联通不,23656,2017-08-29,0.9998151673238741
买中国联通的都没长脑子，都是蠢猪，之前长那么,9432,2017-08-25,0.9083563092506333
又一个“熊安”的套路,13559,2017-08-20,0.8235895258387191
中国联通获控股股东拟溢价9.97%认购最多约66.51,29089,2017-08-23,0.9962060211975252
王晓初解读联通混改两大重点 “第一把火”抛物,186714,2017-08-26,0.9982158460450079
联通A股涨上天 港股跌入地 到底谁错了？,95950,2017-08-23,0.1504122678024996
再压一天，就确立周K线中阳，估计十点左右,21253,2017-08-28,0.08295440464879766
中国联通混合所有制改革方案点评：国企混改树标,45856,2017-08-17,0.8711587793898424
证监会：中国联通混改定增适用再融资原规定,32746,2017-08-26,0.989003765824727
中国联通龙出红海  互联网+混改   剑拔弩张13.5,9757,2017-08-22,0.9919514964770773
联通混改成市场热点 国寿217亿入局意在长期收益,49112,2017-08-25,0.9554938259477626
联通混改事件说明什么？,14339,2017-08-26,0.4535058467523524
中国人寿举牌中国联通两天浮盈70多亿元 此前已,109298,2017-08-22,0.9876819606953815
联通的下跌一切都是局，目的都是为了养老金入市,120139,2017-02-20,0.5011101943628267
说说联通大哥技术分析系列2：所有的下跌都是买,31116,2017-03-28,0.9336219871999282
[赚大了]向全国人民问好！祝全国人民幸福安康！,5714,2017-08-14,0.9984974564445731
这次联通犹如前年的中车，股友们自己思考，莫太,21788,2017-08-17,0.9715065214673757
目前封单量，注定10板以内不可能开板，再多多少,31954,2017-08-21,0.13819220273490018
直播超清化投资加速 参与联通混改公司或多分蛋,81653,2017-08-28,0.8469654118034775
联通混改引爆三类机会 混改终极寻宝图浮出水面,147494,2017-08-21,0.9989455341007628
证监会：中国联通混改涉再融资事项适用“老办法,22979,2017-08-21,0.8237696938542591
中国联通正式发布混改方案 证监会：中国联通非,24622,2017-08-21,0.9650459814541482
联通8.48亿股期权怎么分：3%员工可获得 解锁60,56028,2017-08-21,0.044945886232764076
喊的这么响亮的中国联通！！！,14878,2017-08-17,0.9291794715443481
大家放心，开盘 一定会涨，且会历史新高。因为,29372,2017-08-17,0.9870236721304995
犹抱琵琶半遮面，哈哈,9979,2017-08-17,0.11390780370866571
辛辛苦苦一年赚的不如移动一天多，都要死了，还,11792,2017-08-17,0.09923507165066148
@ 600755厦门国贸经过第一波拉升后短期正常调整,13341,2017-08-17,0.9580757072347794
07:46联通混改方案公布5小时后撤下 回应称混改,16145,2017-08-17,0.009845223888471422
呵呵，看到中国股市的本质了吧，方案早好了，就,18149,2017-08-17,0.9949757187379299
这是闹着玩了吗无语……,7761,2017-08-17,0.7152210693809092
向5G和军品核心技术深度布局，静待水下防御系统,44185,2017-08-17,0.9060393959462149
A股联通募集来的这780亿怎么注入到香港联通去 ,37163,2017-08-17,0.9782189740076822
想起当年公募狙杀游资那一幕，真特么精彩，这次,22618,2017-08-17,0.9978872520070976
8月16日持仓，我不想说什么，大家随便看,26012,2017-08-17,0.01053779936670507
高位股改，复牌跌停,6523,2017-08-17,0.07354608917836236
会不会把H联通坑了？今天H的股价成估价了,14690,2017-08-17,0.17492262713327555
影响国家这么大的事都能弄错，不知这帮败家子还,8981,2017-08-17,0.20578594073204537
联通人的办事效率、办事方式简直就是笑话,9667,2017-08-17,0.0776703874604775
