行情  sz300059
昆药集团(600422)  sh600422
华鲁恒升(600426)  sh600426
中远海特(600428)  sh600428
三元股份(600429)  sh600429
冠豪高新(600433)  sh600433
北方导航(600435)  sh600435
片仔癀(600436)  sh600436
通威股份(600438)  sh600438
瑞贝卡(600439)  sh600439
国机通用(600444)  sh600444
金证股份(600446)  sh600446
华纺股份(600448)  sh600448
宁夏建材(600449)  sh600449
涪陵电力(600452)  sh600452
博通股份(600455)  sh600455
宝钛股份(600456)  sh600456
时代新材(600458)  sh600458
贵研铂业(600459)  sh600459
士兰微(600460)  sh600460
洪城水业(600461)  sh600461
九有股份(600462)  sh600462
空港股份(600463)  sh600463
蓝光发展(600466)  sh600466
好当家(600467)  sh600467
百利电气(600468)  sh600468
风神股份(600469)  sh600469
六国化工(600470)  sh600470
包头铝业(600472)  sh600472
华光股份(600475)  sh600475
湘邮科技(600476)  sh600476
杭萧钢构(600477)  sh600477
科力远(600478)  sh600478
千金药业(600479)  sh600479
凌云股份(600480)  sh600480
双良节能(600481)  sh600481
中国动力(600482)  sh600482
福能股份(600483)  sh600483
信威集团(600485)  sh600485
扬农化工(600486)  sh600486
亨通光电(600487)  sh600487
天药股份(600488)  sh600488
中金黄金(600489)  sh600489
鹏欣资源(600490)  sh600490
龙元建设(600491)  sh600491
凤竹纺织(600493)  sh600493
晋西车轴(600495)  sh600495
精工钢构(600496)  sh600496
驰宏锌锗(600497)  sh600497
烽火通信(600498)  sh600498
科达洁能(600499)  sh600499
中化国际(600500)  sh600500
航天晨光(600501)  sh600501
安徽水利(600502)  sh600502
华丽家族(600503)  sh600503
西昌电力(600505)  sh600505
香梨股份(600506)  sh600506
方大特钢(600507)  sh600507
上海能源(600508)  sh600508
天富能源(600509)  sh600509
黑牡丹(600510)  sh600510
国药股份(600511)  sh600511
腾达建设(600512)  sh600512
联环药业(600513)  sh600513
海航基础(600515)  sh600515
方大炭素(600516)  sh600516
置信电气(600517)  sh600517
康美药业(600518)  sh600518
贵州茅台(600519)  sh600519
文一科技(600520)  sh600520
华海药业(600521)  sh600521
中天科技(600522)  sh600522
贵航股份(600523)  sh600523
长园集团(600525)  sh600525
菲达环保(600526)  sh600526
江南高纤(600527)  sh600527
中铁工业(600528)  sh600528
山东药玻(600529)  sh600529
交大昂立(600530)  sh600530
豫光金铅(600531)  sh600531
宏达矿业(600532)  sh600532
栖霞建设(600533)  sh600533
天士力(600535)  sh600535
中国软件(600536)  sh600536
亿晶光电(600537)  sh600537
国发股份(600538)  sh600538
狮头股份(600539)  sh600539
莫高股份(600543)  sh600543
卓郎智能(600545)  sh600545
山煤国际(600546)  sh600546
山东黄金(600547)  sh600547
深高速(600548)  sh600548
厦门钨业(600549)  sh600549
保变电气(600550)  sh600550
时代出版(600551)  sh600551
凯盛科技(600552)  sh600552
太行水泥(600553)  sh600553
海航创新(600555)  sh600555
康缘药业(600557)  sh600557
大西洋(600558)  sh600558
老白干酒(600559)  sh600559
金自天正(600560)  sh600560
江西长运(600561)  sh600561
国睿科技(600562)  sh600562
法拉电子(600563)  sh600563
迪马股份(600565)  sh600565
济川药业(600566)  sh600566
山鹰纸业(600567)  sh600567
中珠医疗(600568)  sh600568
安阳钢铁(600569)  sh600569
恒生电子(600570)  sh600570
信雅达(600571)  sh600571
康恩贝(600572)  sh600572
惠泉啤酒(600573)  sh600573
皖江物流(600575)  sh600575
祥源文化(600576)  sh600576
精达股份(600577)  sh600577
京能电力(600578)  sh600578
天华院(600579)  sh600579
卧龙电气(600580)  sh600580
八一钢铁(600581)  sh600581
天地科技(600582)  sh600582
海油工程(600583)  sh600583
长电科技(600584)  sh600584
海螺水泥(600585)  sh600585
金晶科技(600586)  sh600586
新华医疗(600587)  sh600587
用友网络(600588)  sh600588
广东榕泰(600589)  sh600589
泰豪科技(600590)  sh600590
龙溪股份(600592)  sh600592
大连圣亚(600593)  sh600593
益佰制药(600594)  sh600594
中孚实业(600595)  sh600595
新安股份(600596)  sh600596
光明乳业(600597)  sh600597
北大荒(600598)  sh600598
熊猫金控(600599)  sh600599
青岛啤酒(600600)  sh600600
方正科技(600601)  sh600601
云赛智联(600602)  sh600602
广汇物流(600603)  sh600603
市北高新(600604)  sh600604
汇通能源(600605)  sh600605
绿地控股(600606)  sh600606
上实医药(600607)  sh600607
金杯汽车(600609)  sh600609
中毅达(600610)  sh600610
大众交通(600611)  sh600611
老凤祥(600612)  sh600612
神奇制药(600613)  sh600613
鹏起科技(600614)  sh600614
丰华股份(600615)  sh600615
金枫酒业(600616)  sh600616
国新能源(600617)  sh600617
氯碱化工(600618)  sh600618
海立股份(600619)  sh600619
天宸股份(600620)  sh600620
华鑫股份(600621)  sh600621
光大嘉宝(600622)  sh600622
华谊集团(600623)  sh600623
复旦复华(600624)  sh600624
PT水仙(600625)  sh600625
申达股份(600626)  sh600626
上电股份(600627)  sh600627
新世界(600628)  sh600628
华建集团(600629)  sh600629
龙头股份(600630)  sh600630
百联股份(600631)  sh600631
华联商厦(600632)  sh600632
浙数文化(600633)  sh600633
富控互动(600634)  sh600634
大众公用(600635)  sh600635
东方明珠(600637)  sh600637
新黄浦(600638)  sh600638
浦东金桥(600639)  sh600639
号百控股(600640)  sh600640
万业企业(600641)  sh600641
申能股份(600642)  sh600642
爱建集团(600643)  sh600643
乐山电力(600644)  sh600644
中源协和(600645)  sh600645
同达创业(600647)  sh600647
外高桥(600648)  sh600648
城投控股(600649)  sh600649
锦江投资(600650)  sh600650
飞乐音响(600651)  sh600651
游久游戏(600652)  sh600652
申华控股(600653)  sh600653
豫园股份(600655)  sh600655
退市博元(600656)  sh600656
信达地产(600657)  sh600657
