10倍pe总计：55只:
142.骅威文化 19.65(pe) 2.19(pb)
143.红蜻蜓 19.66(pe) 2.13(pb)
144.中国国旅 19.7(pe) 2.13(pb)
145.世茂股份 19.71(pe) 0.69(pb)
146.荣晟环保 19.73(pe) 9.50(pb)
147.中天科技 19.76(pe) 2.12(pb)
148.家家悦 19.76(pe) 2.32(pb)
149.华润双鹤 19.77(pe) 2.24(pb)
150.苏州高新 19.81(pe) 1.48(pb)
151.首钢股份 19.81(pe) 1.47(pb)
152.瑞康医药 19.84(pe) 1.41(pb)
153.中国医药 19.87(pe) 3.63(pb)
154.金能科技 19.9(pe) 6.16(pb)
155.闰土股份 20.0(pe) 1.97(pb)
市净率排序:
1.世茂股份 19.71(pe) 0.69(pb)
2.华发股份 10.18(pe) 0.72(pb)
3.华夏银行 7.22(pe) 0.80(pb)
4.交通银行 6.09(pe) 0.80(pb)
5.现代投资 13.53(pe) 0.80(pb)
6.中国银行 5.96(pe) 0.82(pb)
7.浦发银行 6.53(pe) 0.83(pb)
8.潍柴动力 11.71(pe) 0.84(pb)
9.光大银行 5.79(pe) 0.85(pb)
10.中信银行 7.53(pe) 0.88(pb)
11.云内动力 17.03(pe) 0.88(pb)
12.民生银行 5.49(pe) 0.90(pb)
13.南京银行 7.03(pe) 0.91(pb)
14.农业银行 5.25(pe) 0.91(pb)
15.赣粤高速 7.5(pe) 0.93(pb)
16.北京银行 6.65(pe) 0.94(pb)
17.海航控股 16.65(pe) 0.95(pb)
18.中远海能 11.94(pe) 0.96(pb)
19.鞍钢股份 10.37(pe) 0.96(pb)
20.物产中大 19.24(pe) 0.98(pb)
21.厦门国贸 9.07(pe) 0.98(pb)
22.工商银行 6.27(pe) 0.98(pb)
23.中煤能源 18.34(pe) 0.98(pb)
24.天神娱乐 18.55(pe) 0.98(pb)
25.中原高速 6.95(pe) 0.99(pb)
26.建设银行 5.76(pe) 0.99(pb)
27.上海银行 10.05(pe) 1.00(pb)
28.平安银行 7.52(pe) 1.00(pb)
29.杭州银行 10.67(pe) 1.01(pb)
30.兴业银行 5.5(pe) 1.01(pb)
31.隆鑫通用 17.25(pe) 1.01(pb)
32.中国石化 11.26(pe) 1.03(pb)
33.河钢股份 18.28(pe) 1.04(pb)
34.宝钢股份 10.92(pe) 1.07(pb)
35.四川成渝 13.35(pe) 1.09(pb)
36.吉林敖东 16.27(pe) 1.09(pb)
37.上海能源 14.49(pe) 1.10(pb)
38.XD申能股 14.01(pe) 1.10(pb)
39.华泰股份 14.84(pe) 1.11(pb)
40.上海建工 17.36(pe) 1.13(pb)
41.山东钢铁 13.61(pe) 1.15(pb)
42.王府井 16.09(pe) 1.15(pb)
43.中国神华 7.85(pe) 1.18(pb)
44.雅戈尔 7.61(pe) 1.19(pb)
45.福星股份 10.47(pe) 1.19(pb)
46.山东高速 13.28(pe) 1.20(pb)
47.黔轮胎Ａ 9.67(pe) 1.20(pb)
48.兰花科创 12.06(pe) 1.22(pb)
49.开滦股份 18.82(pe) 1.22(pb)
50.鲁西化工 11.22(pe) 1.24(pb)
51.福建高速 12.76(pe) 1.27(pb)
52.金 16.86(pe) 1.28(pb)
53.国电电力 16.75(pe) 1.29(pb)
54.江苏银行 9.25(pe) 1.30(pb)
55.沈阳化工 16.92(pe) 1.30(pb)
56.天津港 18.45(pe) 1.31(pb)
57.湖北能源 18.21(pe) 1.33(pb)
58.宁波银行 8.57(pe) 1.33(pb)
59.江淮汽车 17.3(pe) 1.35(pb)
60.中国铁建 15.72(pe) 1.35(pb)
61.大众交通 17.14(pe) 1.36(pb)
62.海信电器 17.38(pe) 1.38(pb)
63.本钢板材 14.84(pe) 1.38(pb)
64.露天煤业 5.06(pe) 1.38(pb)
65.特变电工 15.45(pe) 1.39(pb)
66.晨鸣纸业 11.28(pe) 1.39(pb)
67.中山公用 16.6(pe) 1.39(pb)
68.轻纺城 19.03(pe) 1.40(pb)
69.中国中冶 18.61(pe) 1.40(pb)
70.靖远煤电 19.52(pe) 1.40(pb)
71.葛洲坝 18.46(pe) 1.41(pb)
72.瑞康医药 19.84(pe) 1.41(pb)
73.保利地产 17.19(pe) 1.42(pb)
74.阳泉煤业 11.87(pe) 1.43(pb)
75.中国中铁 19.6(pe) 1.43(pb)
76.广电运通 17.98(pe) 1.43(pb)
77.白云机场 17.82(pe) 1.44(pb)
78.大秦铁路 10.65(pe) 1.45(pb)
79.平煤股份 12.96(pe) 1.45(pb)
80.福能股份 18.57(pe) 1.46(pb)
