标题,阅读,评论,字数,影响力,时间
狂笑狂抢 狂笑 白痴不抢 瞎子狂笑 业绩翻倍 股0,19415,49,1349,4.5,2017/5/11 13:42
疯笑疯笑 狂笑 白痴不抢 瞎子狂笑 业绩翻倍 股0,20619,51,1349,4.5,2017/5/11 13:39
新高[大笑][大笑][大笑],5175,7,126,3,2017/5/10 15:25
今天3.37买入农业银行,101616,263,298,4,2017/5/10 13:31
该买了,6236,9,366,3.5,2017/5/9 11:57
大资金不如全转买2元股*一路一带丝路龙头600307,38134,130,326,0,2017/5/8 13:49
瞎子狂笑 业绩翻倍 季报再增长300%翻倍搖新股。,17798,41,2382,4.5,2017/5/7 18:49
农业银行(601288)大宗交易数据一览(05-05),12856,7,449,0,2017/5/5 18:26
农业银行开市前有2宗大手成交  共涉资1.14亿元,12251,6,194,0,2017/5/5 15:20
建议民营老板们买点银行股,40995,63,236,4,2017/5/2 10:46
[抄底]截止2017-03-31上海银行601229十大流通股,6779,9,770,4,2017/4/30 9:54
农业银行首季纯利557.1亿元人民币 升1.87%,19934,16,201,0,2017/4/28 18:04
农业银行一季度归属股东净利润增长1.87%至557.1,18453,7,509,0,2017/4/28 17:53
农业银行：一季度净利微增 不良率2.33%,19862,8,312,0,2017/4/28 17:01
农业银行(601288)融资融券信息(04-27),5569,5,550,0,2017/4/28 7:47
农业银行(601288)融资融券信息(04-26),4287,4,548,0,2017/4/27 8:34
叫交警过来 隔10分钟就来贴一次罚单 看他能停多,3521,27,160,2.5,2017/4/26 13:27
农业银行(601288)融资融券信息(04-25),4672,2,544,0,2017/4/26 7:43
农业银行开市前有一宗大手成交  涉资3，127.44万,11545,5,189,0,2017/4/25 15:34
4.2元仅是农行初期应该达到的价位（约2017半年,11406,12,301,3.5,2017/4/23 9:48
农行合理目标价应在4.20元左右净资产附近吧！,11079,18,286,4,2017/4/23 9:07
农业银行(601288)融资融券信息(04-20),5505,4,532,0,2017/4/21 7:47
硬是撑了几天，后面..哎,4620,10,134,0,2017/4/20 14:02
关注年度看样子有消息。,3205,24,132,0,2017/4/20 14:01
看不清走势的不要闯红灯,2352,11,132,0,2017/4/20 14:00
要努力作好各种准备工作,1944,13,132,0,2017/4/20 14:00
你把别人当呆子，你自己就是个呆子,2113,14,142,0,2017/4/20 14:00
中国一大批机构就是不可理喻,5674,11,320,3.5,2017/4/19 17:09
农行储户取钱被指多拿1万 银行凭监控称钞票厚度,10789,15,576,0,2017/4/19 14:48
有人吹20年的老股民，拿着农行四处说值得，叫他,9825,24,217,0,2017/4/18 14:43
农行股价必将超过光大银行和中国银行,11768,16,294,4,2017/4/17 8:05
农行设立千亿级专门基金对接雄安新区建设,13254,8,839,0,2017/4/14 15:53
高兴时别忘了风险！,10849,19,389,3.5,2017/4/13 12:18
农行：新设子公司、后台中心和创新基地将统一设,14283,12,1194,0,2017/4/12 15:53
农业银行(601288)融资融券信息(04-11),3763,2,542,0,2017/4/12 7:46
没忍住，上午挂了个3.35卖单，居然成交了。,10941,12,154,0,2017/4/10 13:40
四大行我还是更加注重农、建行。感觉郭 刘的工,36523,63,174,1.5,2017/4/9 8:35
农业银行(601288)融资融券信息(04-07),7443,4,550,0,2017/4/8 7:47
雄安新区的受益者 雄安新区的最大受益者------,65721,149,192,0,2017/4/7 10:47
4.0工业革命凸起黑科技受惠的上市公司（转载）,9683,22,3115,3.5,2017/4/3 12:25
一带一路是上半年热点？,4263,42,133,0,2017/4/3 2:18
持有农行打新股 申购利群再成功,16813,32,139,4,2017/4/2 8:48
今天冲不上3.4，我就裸奔,8127,11,130,3.5,2017/3/31 9:53
农行债转股2017年将取得实质性进展,16876,3,1207,0,2017/3/31 3:17
高盛：农行资产质素稳定 目标价上调至4.8港元,16500,11,354,0,2017/3/30 11:01
