标题,阅读,评论,字数,影响力,时间
利空！保监会叫停1年期理财型保险产品 1-3年产,10301,12,415,4.5,2016/3/21 8:21
供给侧水泥板块年收入超高将轮动为市场热点,55876,105,2929,2.5,2016/3/20 9:01
A股月内净流入资金逾千亿元 银行股等成大单抄底,64342,50,2380,0,2016/3/18 0:39
雄关慢慢从头越，黒马一骑任遨游！,20196,89,211,3.5,2016/3/9 13:10
交通银行今日超大单流入排名第12名(03-04),15906,3,344,0,2016/3/4 16:09
权重护盘难挡个股杀跌,41222,16,1785,0,2016/3/4 14:52
601328:交通银行H股公告(股份发行人的证券变动,45240,4,1583,0,2016/3/1 18:33
好货，便宜，再加点增仓,12004,13,133,3,2016/2/25 13:24
我已经持有230万股交行了。,27146,18,268,3,2016/2/25 10:45
见第二心头好交行被贱庄这样折磨法，心很痛。,11097,4,288,4,2016/2/22 12:58
1月CPI涨幅扩大 低通胀格局将延续,24308,11,1583,0,2016/2/19 1:35
公积金“加息”：存款利率统一按一年定存1.5%计,25618,6,2717,0,2016/2/17 21:33
关注理由：交行的每股净资产是6.79元，而交行目,24822,11,248,3.5,2016/2/12 12:59
此股必成妖王  什么时候成妖  认真看  仔细想  ,18607,12,1042,3.5,2016/2/2 14:09
抛！经济恶化，拉股价，用人性贪婪，忽悠股民在,40031,37,359,4.5,2016/1/29 14:17
看，唱空的嘴脸,15377,18,234,4,2016/1/28 13:10
连平：2016年商品房销售形势好 房价也将稳中略,49345,94,4087,0,2016/1/27 8:15
601328:交通银行关于交通银行股份有限公司发行,48973,27,1651,0,2016/1/25 19:23
交行有望大涨，养老资金的第一选择,15943,25,2636,3.5,2016/1/24 15:21
目前两市整体市盈率相比2005年沪指998点的时候,24550,21,200,3,2016/1/24 14:42
2016年经济增长前低后稳 呈现四大亮点,176155,71,1665,0,2016/1/23 1:48
交通银行太平洋借记卡——斯沃琪贝拉米支付腕表,13124,8,881,0,2016/1/22 10:21
给个比中信银行低的理由，交行没道理低过中信银,96782,197,160,3.5,2016/1/21 15:19
5.6元下方，开始增仓交行,16290,18,207,2,2016/1/15 13:55
别买入！耐心等待融资盘被强平爆仓时抄底不迟32,26084,24,181,4,2016/1/14 14:06
交通银行马续田：银行财富管理规模未来5,16957,7,1069,0,2016/1/14 9:27
今天回归第二心头好交行。,14747,26,151,4,2016/1/13 17:00
抛！供给侧改革消产能去库存必增银行的呆坏帐,38772,47,21,4,2016/1/12 10:01
熔断机制下应怎样树立良好的心态？,7059,12,1679,3.5,2016/1/7 21:30
半年内银行板块两次破净 历次银行股破净后如何,260929,167,2576,0,2016/1/5 21:41
大利空！外资大举撤退中国，险资成华夏银行接盘,23736,24,187,4.5,2015/12/29 19:36
金融机构混业之门打开：“银行股全新投资逻辑已,83834,13,2192,3.5,2015/12/24 13:39
机构最新动向揭示 周二挖掘8只黑马股,69001,4,8070,0,2015/12/21 14:55
图已画好  主力请采纳,10028,9,134,1.5,2015/12/13 15:41
要把握牛股的特征：题材要找两市具有唯一性和垄,10409,10,504,3,2015/12/13 9:05
601328:交通银行关于境内发行优先股获中国银监,37556,8,577,0,2015/12/10 18:37
交通银行(601328)高管持股变动信息(12-8),29685,19,352,0,2015/12/9 21:37
交行积极拓展“互联网 ”期货服务新模式,9091,5,620,0,2015/12/7 15:46
今天卖交通银行的，明天一定后悔，不信看明天走,12815,11,156,3.5,2015/12/2 11:11
建设银行一一流通盘和万科一样大，业绩都很好,5945,7,93,3,2015/12/2 10:56
交通银行，回来了,9519,32,130,2.5,2015/11/27 21:10
人民币纳入SDR下周一将投票 概念股望受益,49343,39,1065,4.5,2015/11/27 9:51
交通银行 获银团贷款两项大奖,6562,10,297,0,2015/11/26 8:46
真没有想到的是：持股百年交行一年竟然是这样的,9585,21,330,3,2015/11/25 14:25
下周交行借光大银行和光大证券合并连续暴涨刺激,12105,24,190,4,2015/11/20 15:27
10月70大中城市房价涨势疲弱 年底前或出台刺激,16308,63,2778,0,2015/11/19 8:55
