标题,阅读,评论,字数,影响力,时间
2017年还是大监人夭操盘中国股市 没戏!,12960,33,142,3.0,2017-01-02 22:08:22
一股601818光大银行比中油低近4元钱,2615,55,156,0.0,2017-04-30 17:50:49
央企交叉持股又有新进展 中石油34亿元股份无偿,51662,10,1221,0.0,2017-06-28 00:38:30
毫不犹豫的满仓买入一一一一一一一一一一一一一,9883,35,434,3.5,2017-06-27 21:36:12
判断：尾盘肯定崩盘收大阴线了 !!!!!!!!!!!!!!!,46218,134,390,4.5,2016-02-15 14:36:28
今天竟然不护盘,4140,16,124,1.5,2017-07-06 13:26:10
中石油转让中油珠海85%股权,38663,7,424,0.0,2017-07-03 01:52:35
买入中石油加油不用愁一一一一一一一一一一一一,8218,22,365,3.5,2017-06-20 07:56:26
审计署：部分央企业绩不实 近年虚增利润超200亿,10136,11,358,3.5,2017-06-23 22:51:04
601857:中国石油2016年年度末期A股分红派息实施,54188,18,1757,0.0,2017-06-15 18:48:21
601857:中国石油关于国有股份无偿划转进展的公,15964,6,697,0.0,2017-06-27 16:59:35
中国石油控股股东无偿划转公司4.4亿股A股给鞍钢,14405,6,307,0.0,2017-06-27 18:01:49
石油银行保险证券 同比港股有些已经是明显贵了，,4646,4,296,3.5,2017-06-23 09:17:30
证券日报 雄安规划方案编制即将提交 逾25亿低吸,4130,60,501,2.5,2017-06-08 09:00:05
改委：国内汽、柴油价格每吨分别降低250和240元,7512,13,516,3.5,2017-06-23 17:49:30
毫不犹豫的满仓买入一一一一一一一一一一一一一,21223,93,380,3.5,2017-06-10 21:39:04
现在还活跃在股市的一千多万股民大都是股市赢家,1906,12,204,0.0,2017-06-03 07:53:08
盲人摸象：如果还在成谜于经济下行货币紧缩A股,1677,15,204,0.0,2017-06-04 11:11:54
火红六月，仓位满满，静待石油反转。,1873,13,144,0.0,2017-06-03 18:53:50
中国石油化工开市前有一宗大手成交 涉资5，812.7,11103,3,189,0.0,2017-06-09 16:17:57
国内新能源汽车的快速发展，,2915,1,136,0.0,2016-07-12 16:32:04
告中国同胞们，全球最大股灾不久后就要发生了,5881,8,1346,3.5,2017-06-11 15:09:10
000709河钢股份今天开始将大幅拉升！铁矿石价格,4099,2,2009,4.0,2017-06-13 13:27:13
热议近期券商翻几倍?MSCI将于6月20日公布是否纳,5885,13,1163,4.0,2017-05-23 12:27:03
中国石油的入手时机来了 从纯技术层面分析，中,7399,10,152,3.5,2017-06-11 20:44:15
富人抄房，穷人抄股,4461,6,184,3.0,2017-06-13 11:49:29
中国石油：王宜林被选为董事长将派发末期股息每,23029,8,479,0.0,2017-06-08 20:54:19
肯定又崩盘啦 崩盘了 跌停了!!!!!!!!!!!!!!!!!!,227090,897,861,4.5,2016-01-05 09:03:28
中国石油(601857)融资融券信息(06-08),4519,4,524,0.0,2017-06-09 07:45:43
＄-＄证监会高层称部分公司靠“讲故事”操纵股,22095,57,2426,4.0,2017-01-31 19:51:10
公司日活动纪要和盈利预警,32280,14,853,0.0,2017-04-12 20:21:23
抛！经济恶化，拉股价，用人性贪婪，忽悠股民在,19229,34,357,4.0,2016-03-02 09:31:02
再提醒,9347,34,147,3.0,2017-03-13 16:05:54
中国石油集团拟将4.4亿股A股无偿划转给鞍钢集团,110873,86,1027,0.0,2017-05-26 17:32:45
真真假假 假假真真 不阴不阳 不男不女 中石油散,38350,92,153,3.0,2016-11-10 09:55:42
=↘2=股价泡沫太大都透支了5~10年的业绩了！可,19787,56,447,4.0,2017-01-31 19:38:17
汉奸 阉货 家努 人夭 爱资 中石油主力的标签 散,23415,57,29,3.0,2016-11-10 09:24:39
=↘=1400倍高市盈率高市净率高股价高风险估值太,20937,56,859,4.0,2017-01-31 19:36:07
=↘3=证监会高层称部分公司靠“讲故事”操纵股,25615,61,2430,4.0,2017-01-31 19:57:41
