标题,阅读,评论,字数,影响力,时间
资本运作彰显信心，业务持续向前发展,41348,9,1054,0.0,2017-05-02 10:11:42
逆天了，居然一路上涨！,12441,17,132,3.5,2017-06-20 10:25:35
本周应该是证券股的天下,8351,6,144,3.5,2017-06-26 13:19:45
十元的开始,8624,9,120,3.0,2017-06-28 16:33:10
十元看起来形成短期顶部了。,18527,39,134,0.0,2017-06-26 14:41:36
今天收盘在9元上方，那就是站上9元后的第六天，,35689,33,238,3.0,2017-06-07 12:44:18
方正证券强势，率先启动概率大！估计周三左右完,84366,108,151,0.0,2017-05-22 16:23:20
方正证券，真的看不懂,15068,12,244,0.0,2017-06-27 15:06:40
高盛称加入MSCi中国股市交易制度将前进三十年与,12959,15,471,4.0,2017-06-01 13:40:41
方正证券的详细分析,36174,21,568,4.0,2017-06-24 00:29:54
别追了，背离走势，注意操作节奏,9087,10,200,4.0,2017-06-26 11:55:36
太牛了八块多就卖了都涨九块多了,4304,1,140,3.0,2017-06-01 12:28:34
方正证券虽然有各种利好消息，但持续滞涨，也要,8484,16,111,2.0,2017-06-20 13:34:47
在一片悲观中树多头大旗,5533,14,223,0.0,2017-06-20 11:35:37
《炒股日记》（6月20日，周二）,10435,35,1603,4.0,2017-06-20 16:05:22
阿里巴巴巴菲特天价“扫货”方正证券250元,15713,15,21,2.0,2017-06-10 16:43:06
《炒股日记》（6月22日，周四）,7697,9,1549,4.0,2017-06-22 15:49:57
方正证券港资背后在唱什么戏？,16090,10,291,0.0,2017-06-22 11:17:32
《炒股日记》（6月21日，周三）,7276,8,1526,4.0,2017-06-21 15:46:18
港资建仓10亿股，建仓均价8.5元。耗时6个月，耗,51235,44,212,2.5,2017-06-08 08:18:43
MACD顶背离了，俺先把本金给撤出来了，剩下的仓,10138,8,201,3.0,2017-06-12 13:31:32
"八十倍配资开空，""明天做空方正要大发了",25055,57,203,0.0,2017-05-22 15:22:58
差不多了，先走了,5798,12,126,0.0,2017-06-03 17:13:23
前途必将一片光明,3759,27,126,0.0,2016-07-06 14:42:12
601901:方正证券关于补选董事相关情况的核查公,19956,14,1020,0.0,2017-05-19 16:30:19
还有没有机会再接回来啊。,3118,11,134,0.0,2016-07-06 14:42:26
