标题,阅读,评论,字数,影响力,时间
端午后继续涨，3180第一阻力，3300见,11930,56,449,2.0,2017-05-26 23:44:52
进场: 怎么跌的就会怎么涨上去（荐股）,10593,10,1397,4.0,2017-08-04 12:53:35
招商银行的新高意义重大，小牛初长成[微笑],15314,17,89,3.5,2017-07-12 16:29:51
中报公布以后市盈率怎么没变化,10784,35,138,0.0,2017-08-20 20:40:51
尾盘拉一下,9984,27,120,2.0,2017-08-21 14:44:07
特别通告：601958 金钼股份正创历史新低，青菜,8825,7,242,2.0,2017-06-12 13:34:57
加油啊保险都涨飞了,19835,93,128,0.0,2017-08-01 10:08:08
突破了,10659,16,3,2.5,2017-06-22 23:03:25
招商银行：上半年净利润约393亿元 同比增长11.4,75668,36,230,0.0,2017-08-18 18:24:48
招商银行上半年赚392.59亿 更扎心的是员工人均,103505,39,2435,0.0,2017-08-19 00:29:22
600036:招商银行2017年半年度业绩快报,86334,13,930,0.0,2017-07-24 18:10:16
招行上半年净利润增速重回两位数,20324,8,948,0.0,2017-08-19 01:30:32
中报速递：招商银行2017年上半年盈利392.59亿元,19961,10,234,0.0,2017-08-18 19:19:51
大鱼海棠,33122,49,118,0.0,2016-11-22 13:51:19
银行股你不护盘能死啊，让股市恢复正常运行，ok,27448,58,139,2.5,2016-04-22 10:34:02
出局出局 该股短线没戏,8046,9,125,3.5,2017-08-09 13:49:07
等了好久终于等到今天。,44812,182,132,0.0,2017-07-04 17:26:13
目标：招行50！平安100！茅台1000 上证4500！,6367,16,28,3.5,2017-07-26 01:02:22
招商银行发行350亿元优先股获中国银监会批准,18424,3,297,0.0,2017-08-11 21:56:06
今天不拉明天大阳突破,9463,9,10,3.5,2017-08-09 10:38:14
公告：MSCI指数标的股601958 金钼股份正创历史,7065,9,291,1.5,2017-06-22 10:22:17
一笔9000亿，还是美元！损失由谁承担？呜呼招商,6864,10,205,3.5,2017-08-03 13:13:09
一生一佰股佰元招行[赚大了][鼓掌],9422,45,137,3.5,2017-07-30 17:57:33
大行个人存款双降，余额宝倒逼银行提价揽储！,5779,10,305,3.0,2017-07-26 10:51:45
招商银行不喜欢跟着银行板块走,7219,8,175,0.0,2017-07-18 11:22:55
招行否认冻结乐视8000万工资款：乐视不发工资与,90162,34,835,0.0,2017-08-08 18:55:48
进场: “双重改革”受益股，社保养老金标的股,1678,2,1171,4.0,2017-07-30 09:04:35
600036:招商银行2016年半年度业绩快报,38401,12,995,0.0,2016-08-01 18:31:16
今天银行板块 整体下跌，也不用叫冤。,6200,21,193,4.0,2017-08-03 14:40:47
招商银行(600036)融资融券信息(06-29),3829,5,534,0.0,2016-06-30 07:37:26
16家上市银行分红缩水83亿 招行最“大方”,50260,10,1556,0.0,2016-06-29 02:45:47
广发证券半年报预增3倍:主营净利88亿，其中55亿,6585,16,189,4.0,2017-07-12 11:24:56
大C浪也许会来，但绝不是在今年！本人认为5178,14130,85,136,0.0,2017-07-09 13:59:09
招商银行(600036)融资融券信息(06-28),2762,6,542,0.0,2016-06-29 07:36:10
