标题,阅读,评论,字数,影响力,时间
600547:山东黄金2016年年度股东大会决议公告,73777,13,1323,0.0,2017-04-18 19:02:12
山东黄金明天必须涨停板，如果不是我吃大便。,20953,8,93,3.5,2017-04-18 19:25:11
今天感觉做什么都顺顺利利的！,20316,46,130,3.0,2016-04-08 17:16:33
山东黄金的主力庄家反复的训练散民，叫你看有利,767160,3375,151,3.5,2016-02-04 11:24:13
山东黄金躲过美国导弹躲过黄金涨停，开盘要不补,28864,22,127,0.0,2017-04-07 12:44:02
600547从147跌一140一130一120一110一100一90一,34351,103,218,4.0,2017-03-28 22:02:14
操他妈，昨天打电话给山东黄金，告诉老子明天复,30946,14,223,0.0,2017-04-12 17:13:51
黄金股下周扬帆起航 美金现货上涨三月有余，幅,14661,9,225,0.0,2017-03-24 20:07:26
复盘能几个涨停板？大家猜猜,27047,15,136,3.0,2017-04-11 21:52:13
求分析，山金复牌会跌多少？,29569,11,160,3.5,2017-04-09 11:59:02
反对增发，因为有猫腻！十配三，配股每股15元，,15733,15,172,2.5,2017-04-07 17:02:07
山东黄金：筹划重大事项 6日起停牌,68074,18,189,0.0,2017-04-05 21:07:42
重磅，山东黄金牵手世界最大黄金生产商，打开世,26518,15,180,0.0,2017-04-06 13:06:23
朕买了点金条，回头一算，跑赢人民币，还跑赢了,11542,10,321,4.5,2017-03-30 22:09:06
按今天的黄金走势，开盘的山金是涨停板，3个一,22253,12,170,1.5,2017-04-07 20:52:46
600547:山东黄金关于筹划非公开发行股票事项继,73201,26,1168,0.0,2017-04-06 20:03:38
周一涨5个点,13241,11,168,4.5,2017-04-04 23:16:13
发布发现大金矿连跌跌两天，发布规划新区建设涨,12137,9,178,2.5,2017-04-05 09:53:09
天降雨露皇恩浩荡,24539,22,161,4.5,2017-03-20 23:07:30
山东黄金：拟定增募资入股阿根廷金矿 继续停牌,64436,25,315,0.0,2017-04-06 20:39:17
哪个告诉你明天要停牌的？就你们这小学生水平？,41027,47,244,0.0,2017-04-05 22:50:24
特朗普轰的不是叙利亚，是金矿啊,11006,11,90,1.0,2017-04-07 12:58:27
发现1万亿金矿也无法阻止山金下跌的铁轮,13897,12,166,4.5,2017-03-29 21:20:38
36.2姐进场了,8126,8,128,3.5,2017-03-30 09:51:00
4月21日收盘28.5元,9747,6,130,4.5,2017-03-12 10:07:16
今天涨停,11015,11,116,4.5,2017-03-16 10:06:19
最搞笑的就是按照消息炒股,7602,6,209,4.5,2017-03-16 23:00:22
从51元到上上周，一直是跌势,13983,9,195,4.5,2017-03-18 21:09:30
周一高开,5872,6,121,4.5,2017-03-19 23:17:13
下周缩量冲击32元,8482,9,122,4.5,2017-03-24 21:04:29
1500亿3个涨停板有的 明天一字板开启,20649,14,150,3.0,2017-03-28 18:02:18
35.15元我买了14万股山东黄金,38763,55,168,4.0,2017-03-09 10:25:14
山东黄金集团探获世界级金矿床 潜在价值1500多,64652,46,334,0.0,2017-03-28 17:02:18
600547:山东黄金关于控股股东下属子公司探获大,45417,16,911,0.0,2017-03-27 19:17:56
600547:山东黄金2016年年度报告,36027,7,1306,0.0,2017-03-27 19:18:07
创新高后跳水怕不怕？       今日上证指数在铁,11897,33,762,4.0,2017-03-27 16:03:59
这局面，近日有望开启上涨机会……,9204,13,142,4.0,2017-03-22 09:33:17
600547:山东黄金2016年年度报告摘要,38150,5,1285,0.0,2017-03-27 19:18:17
600547本来就是底部，看空的人意欲何为。,2129,1,166,0.0,2017-03-27 16:52:03
特朗普认栽放弃医改投票 擦干眼泪转向税收改革,13901,12,229,3.5,2017-03-25 07:03:04
山东黄金：子公司拟8.92亿收购金矿勘探探矿权,23056,12,326,0.0,2017-03-21 20:29:28
600547从157下来以套牢全国股民140一130一120一,41817,156,228,4.0,2017-02-27 18:13:11
600547:山东黄金关于购买山东省莱州市前陈-上杨,26114,7,1766,0.0,2017-03-21 18:45:08
38的本，谁有我站得高,9056,22,132,2.0,2017-03-20 14:30:54
业绩预增略超预期，持续看好金价，维持买入评级,54151,9,1519,0.0,2017-01-25 19:29:10
两市白酒板块将成为唯一的亮点，耀眼的明星,23541,66,136,3.5,2016-12-14 10:32:53
今以35，53元买了7百股（同时还买了2716），想,11291,13,262,3.5,2017-03-07 22:35:18
山金32元以上能转势的话,25884,26,136,4.5,2016-10-11 19:16:55
今明两年山金怎么走,14202,12,130,4.5,2017-03-06 23:02:26
本次月线、季线同收32.5元,10893,10,127,4.5,2017-03-03 14:41:17
明天开始建仓山东黄金,13886,22,131,4.5,2016-11-23 20:35:18
部分人持股黄金股的原因，你或许还不知道,19368,17,520,3.5,2017-02-24 12:22:45
个人对山东黄金的一点看法，不喜勿喷,14934,14,377,3.0,2017-03-02 10:16:31
2点准时 w手单  暴力！！！,4989,8,128,3.5,2017-03-02 13:46:52
下面的缺口留的很艺术  资金刻意守几天了 明白,59897,209,202,1.5,2016-12-12 21:48:01
600547大家互相转告锁仓等解套36一37一38一40一,102146,500,199,4.0,2016-12-21 12:47:59
贸易战，将狂推山金股价明年六月底前破180元！,61308,99,531,3.0,2016-11-16 07:05:46
再次逐渐进入，做个波段死多头,34156,75,419,2.0,2017-01-03 15:24:57
美元似乎有短期顶部的迹象，黄金股大涨！,58962,248,306,0.0,2017-01-10 10:57:28
