标题,阅读,评论,字数,影响力,时间
哈哈通知17.70到17.40买买,18714,66,145,3.5,2017-04-10 21:23:20
跟老梁赌这个星期会不会破3200又把我拉黑了，记,7939,31,208,2.5,2017-04-17 11:24:09
老梁今天又被大脸,4170,14,126,2.5,2017-04-19 10:28:33
601198:东兴证券关于公司董事辞职的公告,17666,10,506,0.0,2017-04-20 20:07:50
老梁终于闭嘴了[大笑],5064,11,128,3.0,2017-04-20 14:30:20
对老梁有点无语。看看他的辩解，怎么说呢，是不,11732,85,365,0.5,2017-04-19 14:18:03
平稳收官,8046,44,229,0.0,2017-04-20 15:12:46
劵商算是股灾4.0了吧,6016,10,132,2.5,2017-04-20 13:40:08
601198:东兴证券2016年度业绩快报公告,32221,11,1164,0.0,2017-04-19 21:29:03
今日盘中重要提示更新！！得此诗者得天下！！,5489,24,178,0.0,2017-04-19 12:27:01
一波更比一波底，你割不割,9424,15,179,2.5,2017-04-14 14:54:02
关于上海老梁，谈一点自己的看法。      有人告,10579,27,912,0.5,2017-04-15 21:31:04
601198:东兴证券关于全资子公司东兴资本投资管,28191,16,537,0.0,2017-04-13 19:09:00
601198:东兴证券非公开发行A股股票发行情况报告,35922,6,1476,0.0,2016-10-17 20:02:28
601198:东兴证券2017年3月财务数据简报,36902,11,473,0.0,2017-04-11 20:14:17
601198:东兴证券:海通证券股份有限公司关于东兴,32699,12,217,0.0,2017-04-10 16:29:29
18元，全仓东兴，目标翻倍！！,11689,15,150,0.0,2017-03-31 17:25:10
白富美同学，偶下周也要进了,11892,41,147,3.0,2017-04-01 15:46:57
怎么办,12566,21,172,2.0,2017-03-31 13:55:02
坚定挖潜价值投资才是财富____________________,58117,100,1466,4.5,2016-09-02 11:02:43
东兴证券(601198)大宗交易数据一览(03-30),49028,17,477,0.0,2017-03-30 18:39:19
东兴证券(601198)大宗交易数据一览(03-28),37963,9,477,0.0,2017-03-28 18:16:45
今日技术贴，非常重要！针对所有投资者！,8729,24,586,0.0,2017-03-29 15:31:07
今日走势完美，继续努力！,8990,21,330,0.0,2017-03-24 15:07:23
601198:东兴证券关于收到中国证券监督管理委员,30793,5,687,0.0,2017-03-27 19:16:09
一切利空已化解，开始反弹之旅。,28984,58,169,3.0,2017-02-06 13:18:36
短线技术贴最后一贴，正式告别东兴！,16179,58,270,0.0,2017-03-20 22:08:17
两市最烂股票 没有之一,7479,8,66,3.0,2016-07-07 10:03:58
今日技术贴，重回二级市场，针对全体散户朋友！,7918,47,434,0.0,2017-03-23 15:31:09
601198:东兴证券非公开发行2017年度次级债券(第,18950,19,503,0.0,2017-03-20 16:48:14
东兴证券(601198)大宗交易数据一览(03-20),33275,7,477,0.0,2017-03-20 18:26:24
最后劝一遍，如果真听不进去那就算了，能救一个,14053,31,492,0.0,2017-03-15 12:21:34
今日技术贴,10496,43,131,0.0,2017-03-10 16:50:13
《我的话，39家机构听就行》,13446,14,131,4.0,2015-12-24 12:13:45
刘士余称正在论证沪伦通 券商股受益,39526,21,1028,4.5,2017-03-09 09:15:12
今日技术贴，只针对短线投资者！,5486,21,291,0.0,2017-03-08 15:15:50
601198:东兴证券2017年2月财务数据简报,25755,8,471,0.0,2017-03-06 19:22:58
601198:东兴证券2017年1月财务数据简报,39741,9,471,0.0,2017-02-07 19:13:08
东兴证券(601198)解禁股信息(02-26),150517,240,534,0.0,2016-02-24 23:58:56
东兴证券底部构建夯实，即将进入上升通道，持有,6369,9,97,3.0,2017-03-06 13:48:14
601198:东兴证券关于收到上海证券交易所《关于,32965,8,726,0.0,2017-03-03 16:47:22
明天此票会有中到大阳，先恭喜今天还持有的朋友,15446,53,188,0.0,2017-02-23 19:11:39
华鑫证券借壳华鑫股份 将成最小盘券商！！！,9050,28,193,3.0,2017-02-03 09:43:48
券商股再度走强 题材多点开花,277077,392,1264,5.0,2015-11-10 11:04:45
601198:东兴证券关于召开2017年第一次临时股东,29124,4,1083,0.0,2017-02-17 19:47:51
东兴证券,9794,6,59,4.0,2017-02-17 18:38:32
股指期货估计是要放开了，券商最近一直在异动抢,8070,4,135,3.5,2017-02-16 14:57:56
东兴全体员工后代活不过40岁的,6863,14,142,2.0,2017-02-06 09:47:38
东兴证券(601198)大宗交易数据一览(02-09),45953,6,477,0.0,2017-02-09 18:21:51
专业提供股票资金批发，独立账户,18370,86,181,4.0,2016-03-18 14:02:38
东兴证券(601198)大宗交易数据一览(01-16),46187,13,477,0.0,2017-01-16 18:06:57
大股东AMC背景，定增提升资本实力,41636,16,1445,0.0,2016-11-01 14:42:43
东兴证券(601198)大宗交易数据一览(01-09),20385,13,479,0.0,2017-01-09 18:05:41
东兴证券(601198)大宗交易数据一览(03-01),105308,185,477,0.0,2016-03-01 18:08:18
