标题,阅读,评论,字数,影响力,时间
上海银行：岁未看好[12股] 愿牛股排队,25520,21,450,4.0,2016-12-09 09:37:48
上海银行：北京/上海 比拼中国第一金融座位！,36933,85,898,4.0,2017-02-15 16:00:03
此股有国家队压盘，不碰为妙！,10849,16,188,3.5,2017-03-08 13:19:13
鸭鼻孔吗,3016,15,118,2.5,2017-06-20 10:18:09
上海银行全球排名升至第85位,31554,12,730,0.0,2017-07-04 19:00:51
我赌十斤屎，下周一瘪三银行往上走。,12284,25,144,2.5,2017-06-30 15:14:52
如果上海银行拿不住，那你咋在股市,14919,20,152,2.0,2017-03-29 16:13:41
601229:上海银行2016年度业绩快报公告,79048,33,1033,0.0,2017-01-13 18:44:04
明灯，你说这些话无非以下这几点 如果你是庄托,7785,8,397,3.5,2017-06-27 18:47:38
天下无敌手：涨涨跌跌，高抛低吸！一个月至少赚,7351,20,184,3.5,2017-06-23 21:11:55
高开低走，开盘就抛！,7533,16,130,3.5,2017-06-21 09:19:39
一个字:涨 两个字:启涨 三个字:大胆买 四个字:,12604,9,194,4.5,2017-05-27 17:34:05
重大利好！上海银行重大利好！！！……仙神明灯,10421,8,248,3.0,2017-06-18 15:08:51
上海银行~新股若破发 IPO将难进行下去(附股),9398,12,707,4.0,2017-02-15 12:32:27
我今天清仓所有股票！,9466,14,130,3.5,2017-06-14 12:20:30
上海银行的后市薛海忻已经说的明白了！！,24606,183,89,0.0,2017-06-08 15:36:25
辛苦中签的1000股决不相让（上40元再说）,25169,36,181,2.0,2016-12-08 12:39:29
上海银行，业绩优良，成长空间可期，新入选上证,17554,16,176,3.0,2017-06-09 20:57:21
601229:上海银行关于召开2016年度股东大会的通,167427,54,1272,0.0,2017-05-05 19:19:19
601229:上海银行2017年第一季度报告,696740,106,1071,0.0,2017-04-28 00:29:03
明明白白是上箱体顶部，涨幅有限，还有人买，太,8202,21,203,3.5,2017-06-09 17:26:40
601229:上海银行2016年度业绩说明会会议纪要公,32044,9,1905,0.0,2017-04-26 20:19:44
上海银行将让你目瞪口呆，直冲80元,79792,199,162,2.0,2016-11-07 15:29:38
赚钱-亏钱-淡定一点,3675,2,552,3.5,2016-11-23 01:00:23
预测：下一波涨幅最大的银行股是——,7485,8,83,4.0,2017-06-09 11:34:45
不好！主力出逃迹象明显！要跌光！,8270,22,142,3.5,2017-06-08 10:14:46
出问题了！主力逃跑了！资金流出5000多万啊！,5597,11,156,3.5,2017-06-07 14:02:50
我抛错了吗？,3981,12,122,3.5,2017-06-06 06:50:16
那个什么灯的，若股价回调，不到23元之下你千万,11224,38,154,4.0,2017-06-01 19:18:28
价值投资标的，上海银行，短线目标：25元，短线,10973,16,168,3.5,2017-06-02 09:48:37
仙神明灯：你敢不敢来无锡银行？,9814,31,177,4.0,2017-06-05 22:04:02
现在拉一下，明天又来大阴棒而准备的吧！你骗谁,5331,14,204,3.5,2017-05-25 11:08:10
上海银行什么时候可以买,16443,12,219,0.0,2017-06-02 20:44:50
应该将“仙神明灯”封号,4870,16,137,1.0,2017-06-06 13:11:16
平均每天跌4毛，五天2元，下星期二破22元。算好,6525,18,208,3.5,2017-06-05 15:45:52
上海银行：涂鸦了几条线,13305,36,131,4.0,2017-05-13 22:33:12
哈哈，本来我是不买上海银行的，看到仙明神灯在,8482,14,271,3.0,2017-05-09 20:50:11
24.75半仓追入！,8830,22,130,3.5,2017-06-02 13:34:45
热烈祝贺招商银行取代瘪三银行成为第一银行股！,14311,46,154,0.0,2017-05-23 09:46:32
最后上车机会，50元见,6249,12,132,3.0,2017-05-31 09:49:42
形势有点不对,4722,9,122,3.0,2017-06-02 13:30:23
我己经抛掉20多万股了！大跌开始了！你追套了吗,5761,11,158,3.5,2017-06-01 19:04:04
我又没有抛在高点，但是拋在次高点了，也是很了,4595,12,162,3.5,2017-06-02 14:27:51
