标题,阅读,评论,字数,影响力,时间
民族证券：价值投资理念逐渐深化 来源：民族证,4595,25,465,3.5,2017/4/10 21:50
四大行带坏了头，为垃圾股提供了肥沃的土壤，谁,8968,21,320,3,2017/4/10 10:54
转型驱动稳健发展 建行2016年净利超2300亿,16332,2,3999,0,2017/4/10 2:20
首家进驻雄安的银行是大行！ 筹备组由董事长与,23488,36,2564,0,2017/4/9 21:45
《今日说法》主持人起诉建行：69元逾期10天生息,17119,83,2326,0,2017/4/6 7:15
现在买建行，如中签新股，请勿错过！！！,13031,13,392,2.5,2017/4/4 22:49
4.0工业革命凸起黑科技受惠的上市公司（转发）,8887,17,3115,3.5,2017/4/3 12:30
建行与蚂蚁金服全面合作，最主要应该是支付宝与,17269,16,631,3,2017/4/2 11:43
股市说白了就是一个游戏,6978,25,148,0,2017/4/1 16:20
资产质量脱颖而出,15860,2,1849,0,2017/4/1 14:52
对建行2016年报评价，四个字：大失所望！,3054,10,203,3,2017/3/30 10:51
几个大行应恢复至少35%的利润分红,10784,19,173,4,2017/3/30 6:02
收益率低于农行,10270,24,143,2,2017/3/29 22:12
建设银行：去年盈利2314亿 微增1.45%,21705,22,216,0,2017/3/29 21:28
建行2018年分红登记日收盘价,295132,1432,132,0,2017/3/29 20:52
散户必看炒股格言和现金策略！     孙子云：先,46802,89,718,4,2017/3/27 10:23
呼请沃沦先生和其它价值投资者们，大家来说一说,6506,10,188,3,2017/3/26 9:17
假如你想让一家好企业打九折卖给你，行吗?,40697,63,230,4,2017/3/25 17:17
强烈要求董事会大幅度加大2016年分红力度！,6737,9,317,3,2017/3/22 22:49
45年1.8万倍，,13102,15,302,4,2017/3/21 12:50
历史潮流浩浩荡荡，顺之者昌，逆之者亡。,3614,8,202,3,2017/3/19 21:25
如果你没有能力去开办一个银行，那就购买优质廉,8179,19,1408,0,2017/3/19 14:24
讲三个人真实的故事,13225,73,364,0,2017/3/19 9:27
实战炒股口决： 十四工作线，来回做波段；突破,52830,103,753,4,2017/3/17 8:15
在两大黑科技中率先得实惠的上市公司,5795,8,1374,3.5,2017/3/15 17:29
按照现在的成交量，今天601939要吃掉5.95的压盘,4716,40,178,3,2017/3/14 14:18
自选股估值备考：银行股有罕见的投资价值,23775,11,1172,0,2017/3/12 14:00
银行股票值得持有只有一个原因，那就是保留股份,3959,6,160,2,2017/3/9 10:31
咯咯咯！抢盘了，抢盘了，黄金砸头！晨鸣投资价,18824,43,775,4.5,2017/3/8 20:47
去年4.5元买入十年后不赚三倍我赔你多出来的你,7616,46,28,4,2017/3/3 20:18
消灭五大国有银行长期严重破净现象的建议和措施,9259,6,684,3.5,2017/3/1 16:49
建行每股净资产6.53元，超九年半前的发行价6.45,51918,59,1070,4,2017/2/28 20:02
没有那个文件规定银行股市盈率不能超过35倍,12088,12,313,4,2017/2/15 9:08
建行未来20年净资产收益率维持15%的资产变化,40577,57,1322,4,2017/2/13 22:06
小散 新散 傻散真的不适合买银行股,17293,17,640,3.5,2017/2/12 20:47
央视：“房产税”将至 2017年房价要跌了？ 环球,7381,3,2120,4,2017/2/12 10:09
大单托底又被吃掉，凶多吉少啊,3071,11,138,0,2017/2/9 19:55
涨停几时有，把酒问青天，不知大盘走势，还能牛,12212,17,277,1,2017/2/7 15:08
最能套住人的几句话: 1、目前价位接近主力成本,22109,31,744,4,2017/2/2 16:13
超级短线如何玩才能赚到钱？     所谓超级短线,18367,28,1121,4,2017/1/29 17:13
银监会网站的最新数据,19569,26,608,4,2017/1/25 23:04
几时建行股吧又来了一个和北方冰，仙明神灯一样,10688,15,336,3,2017/1/25 11:41
遍地狼烟挡不住 深山狂人预测准,23705,36,1408,3.5,2017/1/22 14:16
债转股规模达3270亿 建设银行独占鳌头,16120,16,573,0,2017/1/16 8:40
建行重新进入上升通道,14739,18,384,4,2017/1/13 19:18
在建行吧做个调查:新股发行数量多了吗？,8176,15,148,3.5,2017/1/12 16:09
建议远离一氧化二氢过量的股票,14228,25,597,4,2017/1/10 22:26
建议想在混改买些股份的民营老板们买点银行股,74838,100,789,4,2017/1/10 21:59
建行版《大腕》,18098,63,659,3.5,2017/1/9 17:57
南下资金大举买入建行h股是否具战略意义？,7632,7,1085,4,2017/1/2 17:22
致我的粉丝---代新年贺词,7539,14,254,4,2017/1/1 11:19
12月市值亏损3.6%，不过如果以建行未标的赚了30,6553,8,172,3.5,2017/1/1 11:04
哪里能找年收益率超过16.9%的理财产品?,48042,66,1231,4,2016/12/31 20:40
养老金扫货建行H股：打爆国际空头！,12538,22,365,4,2016/12/30 20:45
有人会问，养老金为什么只扫货建行H股而不是內,15122,27,456,3,2016/12/30 15:59
内地资金扫货建行H股,17335,12,1576,0,2016/12/30 4:06
建设银行h股今天大涨3.12%！,7046,15,91,4,2016/12/27 18:38
好消息，建设银行香港H股大涨3.12.,9207,12,132,3,2016/12/23 17:06
全日沽空金额约47.58亿元   建设银行沽空率23.5,13905,7,307,0,2016/12/23 16:35
大家在银行股习愦一下，就是你买银行股是用来打,9177,13,736,3,2016/12/23 14:42
买了50万股建行的股份，你们都来祝福我吧,9546,15,187,3,2016/12/23 11:58
建行净资产6.33元每年能增加0.92元，别5.3元贱卖,41513,55,1060,4,2016/12/21 10:03
全世界再也找不到像中国机构这么笨的投资者,7754,14,333,3.5,2016/12/20 22:22
建设银行拟120亿元设立债转股业务公司,7789,5,837,0,2016/12/20 21:28
建设银行 干脆多跌点，我还要仓，比买理财产品,3916,2,113,0,2016/12/19 19:50
证监会要真正保护普通投资者，就必须清查、整顿,8237,22,277,4,2016/12/16 20:41
寄语各大公募基金掌门人,12486,19,389,4,2016/12/15 21:03
现价5.40元交易的是6.31的资产，每年能增加0.92,42362,58,1060,4,2016/12/15 14:46
买进建设银行股票601939就和20年前买房子一样，,5468,7,166,4,2016/12/14 5:32
建设银行(601939)融资融券信息(12-09),6290,7,532,0,2016/12/10 7:47
举报：今天盘中有人无耻打压才5倍市盈率的建设,14734,34,230,4,2016/12/7 19:08
瑞信：亚洲焦点股名单新增建行及中国平安,18300,6,427,0,2016/12/7 13:19
现在留在建行的几乎都是钉子户，六块到五块之间,10855,25,342,3,2016/12/7 10:43
建设银行是最佳打新标的！,6482,22,172,4,2016/12/7 8:43
下周一，大行扛大旗演大戏！,7276,15,565,3.5,2016/12/4 0:44
第一目标价7.80元，第二目标价10元,14681,36,194,4,2016/12/2 19:00
今天建设银行上午洗盘，下午为何逆势大涨一枝独,10910,22,396,4,2016/12/2 15:10
因祸得福？券商股灾救市所持中字头股票5000亿  ,6812,17,300,4,2016/12/1 13:13
建设银行开市前有两宗大手成交  共涉资1.01亿元,7108,8,192,0,2016/12/1 12:52
养老金托管银行没有建行,5033,8,271,2,2016/11/30 11:38
建设银行601939操盘数学模型，顶着布林线上轨长,10535,45,137,4,2016/11/29 22:34
两市各有一只股票，比中国建筑更有魅力和投资价,9315,28,273,4,2016/11/29 6:47
清华同方600100就是第二个万科，大股东肯定被抢,3034,12,160,4,2016/11/28 13:14
短线注意高抛低吸,3527,3,187,4,2016/11/28 11:35
趋势涨停战法:中科电气复制5月18号走势短线翻倍,13010,35,184,3,2016/11/27 16:49
云南老申转发银行粉丝心声。,4253,9,415,3,2016/11/27 15:31
周线显示要冲锋7.48元了，抓紧买进有分红,10564,26,152,4,2016/11/26 21:31
港股四大行都在大宗交易，特别是建行，是养老金,10203,12,488,3,2016/11/25 11:57
巴菲特1991是我见过的股林高手,3700,5,134,0,2016/11/24 16:25
谁在直接打证金耳光？,7748,15,367,4,2016/11/24 11:42
建A的筹码都哪里去了？？？,11233,23,267,3.5,2016/11/24 10:57
2010年初开始陆续买入建行，当初的计划是：持股,15181,34,439,3.5,2016/11/24 8:25
想你的夜，爱与痛在我心里纠缠,2155,25,277,0,2016/11/23 16:54
以后600100改名字叫全球人寿很挣钱，给予30倍的,3445,9,188,4,2016/11/21 15:51
美国富国银行PK中国建设银行,29510,36,797,4,2016/11/19 22:06
A股从G理层到公、私摹基金再到各大机构都病了，,8006,18,613,3,2016/11/19 10:31
根本就没人买，换股票，买清华同方600100,6393,15,154,4,2016/11/18 13:33
中证银行指数压制了3天，大盘也横盘了3天!各路,4099,7,220,3.5,2016/11/17 15:02
捂好低位筹码,83626,122,122,3.5,2016/11/17 0:21
钱多人傻速来买进建设银行601939分红！中签！（,7780,14,191,4,2016/11/15 21:38
明天16日上海银行上市,2517,6,132,4,2016/11/15 11:17
本周要冲过5.54元下一目标就是9.5元,25702,59,150,4,2016/11/14 11:43
大摩：上调内银股评级至“吸引”首选建行,9241,6,318,0,2016/11/14 11:30
建设银行(601939)大宗交易数据一览(11-08),8682,4,479,0,2016/11/8 18:08
要急涨至9元，抢入，戓坚定持有,26467,57,140,3,2016/11/8 17:02
建设银行(601939)融资融券信息(11-04),5735,1,524,0,2016/11/5 7:45
建设银行(601939)大宗交易数据一览(11-04),10310,11,505,0,2016/11/4 18:11
那些傻瓜真不会炒股，5.3都不知道抛掉！太可笑,8650,11,160,3.5,2016/11/4 13:17
我挂单5.3成交了，昨天5.28买的，赚了工资钱了,6139,6,206,3.5,2016/11/4 9:51
建设银行601939比中国建筑流通盘小，买进建设银,7154,8,103,4,2016/11/3 14:05
中证金减持严重破净的四大行，公众如何能理解？,8318,10,491,3.5,2016/11/2 9:42
拓展主业务风光独好 冲刺黑科技金光灿烂（转）,15259,35,3628,3.5,2016/11/1 16:26
不得不说，一群水军在建行还是起到了很大的作用,7556,6,413,3,2016/10/28 16:21
摩通：建行第三季业绩符合预期评级“增持”目标,16508,25,378,0,2016/10/28 12:08
九年多了，建设银行股价还在发行价6.45元底下？,14272,38,186,4,2016/10/28 11:13
建行总资产超20万亿 拨备覆盖率仅为148.78%,7865,5,856,0,2016/10/28 0:03
建行三季报:每股收益0.78元，每股净资6.24元,23591,31,227,4,2016/10/27 22:17
前三季走出谷底，全年业绩回升大有希望,8992,17,351,4,2016/10/27 20:57
建设银行首3季多赚1%至1938亿元人民币,5166,2,200,0,2016/10/27 20:43
建设银行三季度不良率下降至1.56%,15546,3,644,0,2016/10/27 20:05
好股不怕跌。我只知道。建行每年股息分红在所有,7203,6,233,3,2016/10/25 11:19
还在做梦吗？,5763,10,122,3.5,2016/10/25 10:14
价值投资理念为什么一直被歪理邪说绑架的背后应,14458,25,190,1.5,2016/10/24 11:31
大高兴了！要发财！5.3抛掉！明天5.22接回！,6039,8,158,3.5,2016/10/24 11:29
说实话股票怎么涨啊？八百只新股未发完，十万亿,8399,22,325,3.5,2016/10/23 19:41
中国千万资产134万人，近9万人资产上亿,8256,8,360,4,2016/10/23 18:22
现在不走，该等何时！！！,5746,6,134,0,2016/10/20 22:28
余君龙：建行 目标价6.37元  阻力位5.97元,11535,13,523,0,2016/10/19 11:14
