1.中国银行:
标题,阅读,评论,字数,影响力,时间
高位急拉升是大跌前诱多！出货是一价格区域并不,5104,8,234,4.5,2015-11-18 14:32:53
我买中国银行就没想着赚钱。,11459,19,178,2.0,2016-11-21 07:33:18
银行股价廉物美，具备长期投资价值,11739,1,339,4.5,2016-11-28 20:48:45
中国银行将连续13根阳线，每次买入都是正确，每,16054,15,151,3.5,2016-10-23 09:36:06
索罗斯买的ETF含有如下三只股票,13625,5,171,3.0,2016-11-27 17:57:25
交行白菜价。两市市净率最低的真正低估值股票！,7150,5,154,4.0,2016-11-21 20:20:58
第一次买中国银行就被套1年，心态不好真会发疯,15002,21,184,0.5,2016-11-18 14:22:12
中国银行是最垃圾一只银行股，没有之一，去年至,16226,38,250,3.5,2016-11-01 09:37:09
关于不工作去全职投资的条件：经验之谈,11407,24,569,3.0,2016-08-18 20:52:08
中国银行2015年三季报[人类震撼][点击查看原文],10785,7,765,4.0,2015-10-17 15:50:32
[大宗交易揭秘]·601988:中国银行2015年第三季度,12129,16,651,4.0,2015-10-31 08:36:52
中行诈骗大案：内部员工牵线致借款人损失逾千万,18719,10,4965,0.0,2016-11-14 13:24:37
中国银行拟于11月20日派发中行优1股息每股6元,21217,8,304,0.0,2016-11-12 14:54:31
跌得好，跌得妙，跌得赌徒们做猪叫。,79574,156,70,3.5,2015-08-07 06:13:59
谢百山又是谁,9412,6,117,3.5,2016-10-03 18:27:32
都已经是死人，很正常。,11306,11,122,3.5,2016-10-03 18:28:40
601988:中国银行第一期境内优先股股息派发实施,43943,11,1183,0.0,2016-11-11 19:59:59
中国银行(601988)大宗交易数据一览(11-08),9136,4,481,0.0,2016-11-08 18:09:25
这股3.35~3.38低吸了40万，以为和深港通有点关,6042,5,241,3.5,2016-11-08 10:44:34
中国银行严重低于其他银行，严重落后于大盘，有,10264,14,133,0.0,2016-11-04 10:03:41
国家队-砸盘！ 国家队-砸盘！  国家队-砸盘！ ,106647,142,207,2.5,2016-05-11 14:25:10
中国银行三季度遭证金、华夏人寿减持 证金持股,20951,33,435,0.0,2016-10-26 21:40:06
统一回复很多问分红扣税的政策,34921,53,496,3.0,2016-06-29 19:27:19
做中行客户、当中行股东、献中行良策，得长期回,68806,99,136,3.5,2016-07-17 17:41:27
抛！供给侧改革消产能去库存势必增银行呆坏帐88,35219,58,163,4.0,2016-01-12 10:08:12
别买入！耐心等待融资盘被强平爆仓时抄底不迟98,20213,28,159,4.0,2016-01-14 14:15:46
中国银行三季报点评：不良净生成大幅改善，增长,21930,7,1134,0.0,2016-10-27 17:03:23
中国银行前三季净利润微增2.48% 证金及华夏人寿,21221,7,429,0.0,2016-10-27 12:47:00
简谈中国银行和农业银行,22592,15,3117,2.5,2016-10-21 09:26:35
中国银行(601988)大宗交易数据一览(10-21),10604,7,473,0.0,2016-10-21 18:07:46
000553植物保护龙头 先正达重组预期 草甘膦涨价,4889,8,831,3.5,2016-10-20 21:30:22
中国银行于10月24日派发境外优先股股息约4.87亿,10638,6,250,0.0,2016-10-14 17:25:02
有直销经营的好当家，只卖4.07元的价[赚大了],30436,92,153,4.0,2016-07-29 21:53:58
一万亿债转股力挺A股：千点大反转随时开展？,1184444,665,3180,0.0,2016-04-04 22:01:32
为什么每天卖一大单压盘，收盘前悄悄撤掉？,7913,4,158,3.5,2016-10-14 16:01:27
中国银行(601988)融资融券信息(10-11),4884,5,534,0.0,2016-10-12 07:43:19
[超级震撼牛]狂龙飙涨腾飞在即！,9545,14,227,4.0,2015-12-08 12:13:12
那个叫“nwb2011”吹牛逼那么有意思吗？,8601,19,232,3.5,2016-07-05 13:47:49
本事就是造假上市，又何来救市？,12875,14,67,3.5,2015-08-07 06:12:34
每天，只赚一点点，真高兴！,26028,31,76,3.5,2015-08-06 16:40:41
中国银行(601988)融资融券信息(09-29),6562,5,538,0.0,2016-09-30 07:45:56
“境外势力”三次看空中国银行业 穆迪下调11家,74802,84,2845,0.0,2016-03-03 22:51:40
601988:中国银行董事会决议公告,20531,3,612,0.0,2016-09-29 20:39:59
中国银行在毛里求斯开设首家中资银行,14957,6,584,0.0,2016-09-29 05:01:33
