1.建设银行:
标题,阅读,评论,字数,影响力,时间
王洪章辞任建设银行董事长及执行董事等职务,6075,10,248,0.0,2017-08-17 20:06:29
建设银行委任MC麦卡锡为独立非执行董事,4733,8,226,0.0,2017-08-17 20:02:23
建设银行提名田国立担任执行董事,3898,8,164,0.0,2017-08-17 21:16:10
建行召开董事会会议 田国立被推举为执行董事,7219,5,605,0.0,2017-08-17 21:50:40
建行不行了，换股马上赚回来，信者赚！,8973,16,168,3.5,2017-07-10 13:22:23
恩  好,5339,17,115,3.0,2017-06-27 16:39:41
今天汇丰控股公布半年报，半年属于普通股股东总,7165,29,262,2.0,2017-07-31 15:49:29
市值减少了不算输，股票总量减少了才叫输,6529,10,148,3.5,2017-08-11 16:27:09
建设银行(601939)融资融券信息(08-11),6051,6,532,0.0,2017-08-12 07:49:43
建设银行(601939)融资融券信息(07-24),4239,5,518,0.0,2017-07-25 07:49:58
跌跌不休！7月top100房企销量总体下跌近40%！惊,3741,6,228,3.5,2017-08-07 09:34:00
一道数学题： 王小姐是卖鞋的，一只鞋进货价30,1279950,465,251,3.5,2015-09-05 13:34:08
赚的钱买一辆长安车如何？,4153,9,134,3.5,2017-08-09 10:52:47
那些看不惯银行大蓝筹涨的人，到底什么心理？,17252,39,382,2.0,2017-07-29 11:24:14
看这次能不能跌倒6元以下,4078,7,134,3.5,2017-08-09 22:47:45
自作聪明去买入最近大涨的个股，在主板市场没有,4851,9,216,3.0,2017-07-15 23:00:13
前几天6.88清仓 今天下午已经满仓 平均成本6.62,5918,10,168,2.0,2017-08-10 14:39:09
一点真相,10612,24,782,2.0,2017-06-10 22:00:28
如何看待成长股与所谓“价值股”？,5782,16,5150,3.0,2017-08-06 23:42:48
举报：今天盘中有人无耻打压才5倍市盈率的建设,14705,34,230,4.0,2016-12-07 19:08:17
建设银行拟120亿元设立债转股业务公司,7773,5,837,0.0,2016-12-20 21:28:53
唐僧初遇猪八戒那一天，唐僧说：八戒你跑两圈给,3963,5,223,3.0,2017-07-05 08:14:04
